study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035816	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035817	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035818	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035819	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035820	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035821	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035822	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035823	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035824	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035825	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035826	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035827	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035828	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404766	SRS505935	SRX381646	SRR1035829	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404761	SRS505936	SRX381661	SRR1035830	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404761	SRS505936	SRX381661	SRR1035831	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404761	SRS505936	SRX381661	SRR1035832	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404761	SRS505936	SRX381661	SRR1035833	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404761	SRS505936	SRX381661	SRR1035834	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404762	SRS505937	SRX381666	SRR1035835	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404762	SRS505937	SRX381666	SRR1035836	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404762	SRS505937	SRX381666	SRR1035837	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404762	SRS505937	SRX381666	SRR1035838	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404762	SRS505937	SRX381666	SRR1035839	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035840	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035841	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035842	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035843	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035844	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035845	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404760	SRS505938	SRX381671	SRR1035846	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035847	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035848	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035849	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035850	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035851	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035852	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035853	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035854	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035855	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035856	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035857	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035858	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035859	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035860	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404764	SRS505939	SRX381678	SRR1035861	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404750	SRS505940	SRX381693	SRR1035862	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404750	SRS505940	SRX381693	SRR1035863	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404750	SRS505940	SRX381693	SRR1035864	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404750	SRS505940	SRX381693	SRR1035865	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404767	SRS505941	SRX381697	SRR1035866	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404767	SRS505941	SRX381697	SRR1035867	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404767	SRS505941	SRX381697	SRR1035868	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404767	SRS505941	SRX381697	SRR1035869	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404768	SRS505942	SRX381701	SRR1035870	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404768	SRS505942	SRX381701	SRR1035871	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404768	SRS505942	SRX381701	SRR1035872	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
