7/7/2019	2069	1806
6/7/2019	3875	1753
5/7/2019	5628	1470
4/7/2019	7098	1570
3/7/2019	8668	1469
2/7/2019	10137	1566
1/7/2019	11703	1488
12/7/2018	13191	1402
11/7/2018	14593	1325
10/7/2018	15918	1366
9/7/2018	17284	1337
8/7/2018	18621	1284
7/7/2018	19905	1307
6/7/2018	21212	1383
5/7/2018	22595	1211
4/7/2018	23806	1330
