id	filename	md5	size	state
22aca0bf-6c7d-416d-83f2-79db09473c91	d6729d70-9495-487c-857c-8ff2f0765877.FPKM-UQ.txt.gz	bcf67bcc8e1b0b9da75f71a48adc11a0	476079	released
40fa3256-3376-4859-99a5-f65864637410	1e591edb-e556-4983-a028-ecb537514fb4.FPKM-UQ.txt.gz	ed5dc3a088133b9c3d7638657b8d23d8	501392	released
44bd87c3-55c3-408c-9f1a-db750367e8a7	fdc50973-2298-4b0a-ba8c-96bf01882f72.FPKM-UQ.txt.gz	f1684d10e19a01a37dff662c0a0d3351	498092	released
6f933dda-d108-4795-ba2f-550b2a9ca3d0	97c0b9ba-e792-4e0c-af06-f6789ab37e40.FPKM-UQ.txt.gz	8a9a8b65ab74c05e9e36b75ce9c3aeed	538129	released
be2b761f-8ccf-4070-ba1f-f5317e84efb8	6c85fe07-e17c-4450-b4d9-f20d24924d8b.FPKM-UQ.txt.gz	8658ce9e6030cee0f7004a7fa0a61465	495053	released
39633617-a0f9-4aeb-a64c-b56c5211415b	417295dd-1247-40f0-9988-36fe8814dd70.FPKM-UQ.txt.gz	f6847b91d1711d1ccb240bc52d4ffd6b	521951	released
8e32bdb6-bc13-46e0-8cb7-5d7cdb7c09f9	596e0340-9bb6-49eb-a926-f51f8ec9727d.FPKM-UQ.txt.gz	03eb6cbf83ca8c6b0bfdcbd58c988732	485720	released
d68a4fb4-e490-4e24-92bc-087ab6a159e7	a8187969-0610-479a-8d12-2c8e61c07a80.FPKM-UQ.txt.gz	3b407491250da4c7b48a4d79c4239ed6	532858	released
a41c545b-27aa-44a7-8ca5-d571b32a3c9d	6e787323-b1b0-40fc-879b-d8fec6b6ce59.FPKM-UQ.txt.gz	4d13b7efc6b8244dd15071f10111e102	512198	released
aa95219a-cbd4-41ec-8a1b-76aa80c170e6	59118944-d135-4b7d-8ce4-438fcaa4fcf4.FPKM-UQ.txt.gz	7ffb0fdadfc8e5c25227d1c5a494d48b	509620	released
d5349a7a-52f3-495c-bf9c-4bea36fcf638	b32e5c14-4034-488c-995a-a65fe3ccf534.FPKM-UQ.txt.gz	90892b5cf56cef6fabd4b8a045189dfb	511244	released
85ad9242-0867-4fa0-907e-38aa7b8033b8	304a977a-e34e-4bf5-b4c0-3d06eb1d6519.FPKM-UQ.txt.gz	d3f1a488b6358ca5d18fe8950f5355d3	519529	released
349fcc43-d9a9-415e-9c6a-f2717edbd41c	f3b6c5d9-6d0c-41db-b369-2b60bc2f44a6.FPKM-UQ.txt.gz	3cf4713600f6d66b4c38aa9afa84bda6	504069	released
f47e7957-a511-468b-96a6-f9f395942b13	dd00fc79-2328-42c6-9734-96d2256de370.FPKM-UQ.txt.gz	858fc523ccfef906597ff4039f2d1354	487043	released
eb4c11a8-f732-49d1-beb3-2abb8411a063	10414d34-f048-4a23-9ab6-055e0dd469ce.FPKM-UQ.txt.gz	db2eb1c85dbe98ab418b71010529c1c0	526596	released
e3eb3abd-1207-4c14-98a1-197e1aa8e522	d9cbccff-ddfd-418d-a9f3-a705ab507277.FPKM-UQ.txt.gz	72afd5d3193a038acae81fe14edf3aa8	514836	released
bf9676cc-1e9a-47f0-bd76-0fa2da16fe5f	2a962923-bbca-4fa9-a68c-da7c59297e02.FPKM-UQ.txt.gz	a89974e25b8a2fcbfd6ad20beeac0080	518492	released
0214ca61-dfb8-4fe9-adac-ed72fbade2da	c625ddd0-ae64-4ed6-b19d-439ed2f0dca9.FPKM-UQ.txt.gz	f6e0cbd53cb179692f47fa6d49a6fa49	502358	released
327dfdd2-7a59-4977-bb66-5bd53cced889	eb1dab43-c88d-4f09-894b-12d3e1903015.FPKM-UQ.txt.gz	a0110a4df6d16e795729e001a192bd3e	476626	released
50a9b225-e8f9-4246-a935-8d3cc17521a1	4e9719d5-6602-499d-baf7-4232fb719581.FPKM-UQ.txt.gz	0b8a7d090b2b7db97a532d7b98551a43	523063	released
a21ec026-f398-4f53-b16a-1f7a30c58d35	e5b7fd98-9b6f-4bbe-b8dc-c92de129a86c.FPKM-UQ.txt.gz	240c2794bf6a4567366b4c8a88b2a267	491659	released
67425383-209d-4d51-9a80-4f803da40e1f	41cbb3ce-cee2-4aca-a868-6a8e7a78860f.FPKM-UQ.txt.gz	2cffe5202bac07b9ddcb1c7cfa6e9b0c	461140	released
337c875c-1fe6-4a9b-bc19-5cbafa450cc7	e916087d-f531-4130-9823-1019ee7a7dd9.FPKM-UQ.txt.gz	461617014b0b1c2f0b7d3b714a6bc677	500834	released
879854e8-1f8b-4685-af33-355cc6fc0a91	773ee6c9-89ca-46f2-a9b9-8a3773bcc4cc.FPKM-UQ.txt.gz	68befa2f053fa6911bdcde17a5be6c3e	499979	released
685ad99a-0ffa-48cf-8f27-ba43b30c16d1	32bd99f2-eefe-4dbf-ac0b-dcbe1d0da9d4.FPKM-UQ.txt.gz	e9093265dd5e0dda43b70febbc57ff05	503559	released
dfad3c09-fa07-4929-a7e4-0fa40d774e63	82d4eabe-b54d-4d53-9347-79fb4c507629.FPKM-UQ.txt.gz	3c6e7d80dbe7fe769692a16e6d27d503	511483	released
455e1ee9-0cd2-422d-bc61-c37141ae67fb	dc2c4dfc-d8e4-40c5-ab54-3cfa15f166cf.FPKM-UQ.txt.gz	8997d4328a5e5341fd813e6a206b5ab4	518690	released
46bbbe0b-9a3b-4d2c-bd02-c91ffb77ad82	a638e045-eb92-4f48-afe8-e57f0e4307eb.FPKM-UQ.txt.gz	13e538ce6ee9a6c999e260f1a7586d4f	506888	released
78c2dffa-f4f1-475b-b650-b01854e87cef	0d8cefef-c6ce-4483-9a6d-8ba42febce4d.FPKM-UQ.txt.gz	808c3ad123b07a8dcda87d4fd669fc86	503331	released
f3ecf419-b27e-4192-a2fc-a600f6beda70	fd08f7a8-683a-44de-add7-5936e6c0617d.FPKM-UQ.txt.gz	b20228b9f82b16ac5ec49dea78834b28	500983	released
