Target Detail	Target Rank	Target Score	miRNA Name	Gene Symbol	Gene Description
Details	191	60	hsa-miR-4254	SOX11	SRY-box 11
Details	192	60	hsa-let-7a-3p	SOX11	SRY-box 11
Details	193	60	hsa-miR-4724-5p	SOX11	SRY-box 11
Details	194	60	hsa-miR-4738-5p	SOX11	SRY-box 11
Details	195	59	hsa-miR-548g-3p	SOX11	SRY-box 11
Details	196	59	hsa-miR-6742-5p	SOX11	SRY-box 11
Details	197	59	hsa-miR-3679-3p	SOX11	SRY-box 11
Details	198	59	hsa-miR-937-3p	SOX11	SRY-box 11
Details	199	59	hsa-miR-7108-3p	SOX11	SRY-box 11
Details	200	59	hsa-miR-625-3p	SOX11	SRY-box 11
Details	201	58	hsa-miR-4478	SOX11	SRY-box 11
Details	202	58	hsa-miR-4728-5p	SOX11	SRY-box 11
Details	203	58	hsa-miR-513a-3p	SOX11	SRY-box 11
Details	204	58	hsa-miR-149-3p	SOX11	SRY-box 11
Details	205	58	hsa-miR-513c-3p	SOX11	SRY-box 11
Details	206	58	hsa-miR-4778-5p	SOX11	SRY-box 11
Details	207	58	hsa-miR-4768-5p	SOX11	SRY-box 11
Details	208	58	hsa-miR-6785-5p	SOX11	SRY-box 11
Details	209	58	hsa-miR-3120-3p	SOX11	SRY-box 11
Details	210	58	hsa-miR-4749-5p	SOX11	SRY-box 11
Details	211	57	hsa-miR-6078	SOX11	SRY-box 11
Details	212	57	hsa-miR-221-3p	SOX11	SRY-box 11
Details	213	57	hsa-miR-411-5p	SOX11	SRY-box 11
Details	214	57	hsa-miR-9851-5p	SOX11	SRY-box 11
Details	215	57	hsa-miR-4447	SOX11	SRY-box 11
Details	216	57	hsa-miR-222-3p	SOX11	SRY-box 11
Details	217	56	hsa-miR-217-3p	SOX11	SRY-box 11
Details	218	56	hsa-miR-4684-5p	SOX11	SRY-box 11
Details	219	56	hsa-miR-1264	SOX11	SRY-box 11
Details	220	56	hsa-miR-8063	SOX11	SRY-box 11
Details	221	56	hsa-miR-520b-5p	SOX11	SRY-box 11
Details	222	56	hsa-miR-1250-3p	SOX11	SRY-box 11
Details	223	56	hsa-miR-3606-3p	SOX11	SRY-box 11
Details	224	56	hsa-miR-8081	SOX11	SRY-box 11
Details	225	56	hsa-miR-590-3p	SOX11	SRY-box 11
Details	226	56	hsa-miR-3179	SOX11	SRY-box 11
Details	227	56	hsa-miR-519a-2-5p	SOX11	SRY-box 11
Details	228	56	hsa-miR-4743-3p	SOX11	SRY-box 11
Details	229	55	hsa-miR-942-3p	SOX11	SRY-box 11
Details	230	55	hsa-miR-527	SOX11	SRY-box 11
Details	231	55	hsa-miR-31-5p	SOX11	SRY-box 11
Details	232	55	hsa-miR-340-5p	SOX11	SRY-box 11
Details	233	55	hsa-miR-132-5p	SOX11	SRY-box 11
Details	234	55	hsa-miR-8087	SOX11	SRY-box 11
Details	235	55	hsa-miR-3142	SOX11	SRY-box 11
Details	236	55	hsa-miR-518a-5p	SOX11	SRY-box 11
Details	237	54	hsa-miR-4691-5p	SOX11	SRY-box 11
Details	238	54	hsa-miR-6792-3p	SOX11	SRY-box 11
Details	239	54	hsa-miR-1908-5p	SOX11	SRY-box 11
Details	240	54	hsa-miR-4281	SOX11	SRY-box 11
Details	241	54	hsa-miR-3180-5p	SOX11	SRY-box 11
Details	242	54	hsa-miR-10396b-5p	SOX11	SRY-box 11
Details	243	54	hsa-miR-548at-5p	SOX11	SRY-box 11
Details	244	54	hsa-miR-6882-3p	SOX11	SRY-box 11
Details	245	53	hsa-miR-6893-5p	SOX11	SRY-box 11
Details	246	53	hsa-miR-197-3p	SOX11	SRY-box 11
Details	247	53	hsa-miR-1203	SOX11	SRY-box 11
Details	248	53	hsa-miR-663a	SOX11	SRY-box 11
Details	249	53	hsa-miR-6787-5p	SOX11	SRY-box 11
Details	250	53	hsa-miR-6808-5p	SOX11	SRY-box 11
Details	251	53	hsa-miR-1245b-3p	SOX11	SRY-box 11
Details	252	53	hsa-miR-3123	SOX11	SRY-box 11
Details	253	53	hsa-miR-940	SOX11	SRY-box 11
Details	254	53	hsa-miR-153-3p	SOX11	SRY-box 11
Details	255	52	hsa-miR-5093	SOX11	SRY-box 11
Details	256	52	hsa-miR-548aq-5p	SOX11	SRY-box 11
Details	257	52	hsa-miR-1292-3p	SOX11	SRY-box 11
Details	258	52	hsa-miR-6858-3p	SOX11	SRY-box 11
Details	259	52	hsa-miR-6507-5p	SOX11	SRY-box 11
Details	260	52	hsa-miR-141-3p	SOX11	SRY-box 11
Details	261	52	hsa-miR-200a-3p	SOX11	SRY-box 11
Details	262	51	hsa-miR-618	SOX11	SRY-box 11
Details	263	51	hsa-miR-548ak	SOX11	SRY-box 11
Details	264	51	hsa-miR-4286	SOX11	SRY-box 11
Details	265	51	hsa-miR-6512-3p	SOX11	SRY-box 11
Details	266	51	hsa-miR-548h-5p	SOX11	SRY-box 11
Details	267	51	hsa-miR-548ax	SOX11	SRY-box 11
Details	268	51	hsa-miR-6763-5p	SOX11	SRY-box 11
Details	269	51	hsa-miR-6720-5p	SOX11	SRY-box 11
Details	270	51	hsa-miR-548w	SOX11	SRY-box 11
Details	271	51	hsa-miR-548ab	SOX11	SRY-box 11
Details	272	51	hsa-miR-548t-3p	SOX11	SRY-box 11
Details	273	51	hsa-miR-548as-5p	SOX11	SRY-box 11
Details	274	51	hsa-miR-548i	SOX11	SRY-box 11
Details	275	51	hsa-miR-548bb-5p	SOX11	SRY-box 11
Details	276	51	hsa-miR-4666a-3p	SOX11	SRY-box 11
Details	277	51	hsa-miR-548a-5p	SOX11	SRY-box 11
Details	278	51	hsa-miR-6827-5p	SOX11	SRY-box 11
Details	279	51	hsa-miR-556-3p	SOX11	SRY-box 11
Details	280	51	hsa-miR-548ap-3p	SOX11	SRY-box 11
Details	281	51	hsa-miR-548b-5p	SOX11	SRY-box 11
Details	282	51	hsa-miR-4668-5p	SOX11	SRY-box 11
Details	283	51	hsa-miR-202-3p	SOX11	SRY-box 11
Details	284	51	hsa-miR-34b-5p	SOX11	SRY-box 11
Details	285	51	hsa-miR-548ao-5p	SOX11	SRY-box 11
Details	286	51	hsa-miR-548am-5p	SOX11	SRY-box 11
Details	287	51	hsa-miR-548au-5p	SOX11	SRY-box 11
Details	288	51	hsa-miR-449c-5p	SOX11	SRY-box 11
Details	289	51	hsa-miR-548ae-5p	SOX11	SRY-box 11
Details	290	51	hsa-miR-548y	SOX11	SRY-box 11
Details	291	51	hsa-miR-3150a-3p	SOX11	SRY-box 11
Details	292	51	hsa-miR-3130-3p	SOX11	SRY-box 11
Details	293	51	hsa-miR-548ar-5p	SOX11	SRY-box 11
Details	294	51	hsa-miR-548ap-5p	SOX11	SRY-box 11
Details	295	51	hsa-miR-548ad-5p	SOX11	SRY-box 11
Details	296	51	hsa-miR-548j-5p	SOX11	SRY-box 11
Details	297	51	hsa-miR-3152-5p	SOX11	SRY-box 11
Details	298	51	hsa-miR-335-3p	SOX11	SRY-box 11
Details	299	51	hsa-miR-548ay-5p	SOX11	SRY-box 11
Details	300	51	hsa-miR-105-5p	SOX11	SRY-box 11
Details	301	51	hsa-miR-548aa	SOX11	SRY-box 11
Details	302	51	hsa-miR-548o-5p	SOX11	SRY-box 11
Details	303	51	hsa-miR-548d-5p	SOX11	SRY-box 11
Details	304	51	hsa-miR-559	SOX11	SRY-box 11
Details	305	51	hsa-miR-548c-5p	SOX11	SRY-box 11
Details	306	50	hsa-miR-6780a-3p	SOX11	SRY-box 11
Details	307	50	hsa-miR-1276	SOX11	SRY-box 11
Details	308	50	hsa-miR-3682-5p	SOX11	SRY-box 11
Details	309	50	hsa-miR-10523-5p	SOX11	SRY-box 11
Details	310	50	hsa-miR-338-3p	SOX11	SRY-box 11
