portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
61420db5-0466-4ac9-8081-fc92090761ad	TCGA-55-7570-11A-01	ff07ea4b-4e50-410d-99d6-96a351dad7b1	TCGA-55-7570	TCGA-LUAD	592f3b40-8509-4e5a-971d-5aab8b884c85	TCGA-55-7570-11A	released	01	58.0	False
d9404bef-b0a0-4d64-b2a3-c40440cbbe1f	TCGA-49-AAR3-01A-11	5813997a-d7dc-4f7c-8d4b-e979832168a9	TCGA-49-AAR3	TCGA-LUAD	07ab41e3-63a5-461b-9cf2-6bebc0e4d81e	TCGA-49-AAR3-01A	released	11	30.0	False
9077b43c-c052-46e8-81d5-76043606d3dd	TCGA-49-AAR3-01A-21-A45B-20	5813997a-d7dc-4f7c-8d4b-e979832168a9	TCGA-49-AAR3	TCGA-LUAD	07ab41e3-63a5-461b-9cf2-6bebc0e4d81e	TCGA-49-AAR3-01A	released	21	--	False
a8e72436-10f8-41dd-b792-c839b22e6ac8	TCGA-49-AAR3-11A-11	5813997a-d7dc-4f7c-8d4b-e979832168a9	TCGA-49-AAR3	TCGA-LUAD	2df83b95-3a2a-486c-acfd-d02bad0b1f59	TCGA-49-AAR3-11A	released	11	30.0	False
85996c72-9929-48a0-84a4-cc9aa4941b6f	TCGA-50-5045-10A-01	9ee20c0d-a1c3-47f3-abda-131b3f190f52	TCGA-50-5045	TCGA-LUAD	33b96fad-daf0-4e90-834c-4bbe9f2fd129	TCGA-50-5045-10A	released	01	--	False
f5230fa4-0c05-484a-a17b-debebbcab1f4	TCGA-50-5045-01A-31-2190-20	9ee20c0d-a1c3-47f3-abda-131b3f190f52	TCGA-50-5045	TCGA-LUAD	bdd75bca-6224-4743-a367-cb1ff01e8121	TCGA-50-5045-01A	released	31	--	False
3216714e-fb4a-4166-86e2-8551550398b9	TCGA-50-5045-01A-01	9ee20c0d-a1c3-47f3-abda-131b3f190f52	TCGA-50-5045	TCGA-LUAD	bdd75bca-6224-4743-a367-cb1ff01e8121	TCGA-50-5045-01A	released	01	124.0	False
58a3a9ab-3c0a-4992-8a39-996c754256b3	TCGA-55-8096-11A-01	36470b30-a3b3-4d28-851b-918a7ff88011	TCGA-55-8096	TCGA-LUAD	d444525d-f9bf-496a-a543-d75651e328cd	TCGA-55-8096-11A	released	01	69.0	False
3cacc90a-ec30-438f-888d-c2a57d733e0a	TCGA-55-8096-10A-01	36470b30-a3b3-4d28-851b-918a7ff88011	TCGA-55-8096	TCGA-LUAD	91723d8e-9d3e-4540-8893-d6bb2f53bc12	TCGA-55-8096-10A	released	01	--	False
de2fd677-f8c2-47c2-9a42-f0b93d47fe69	TCGA-55-8096-01A-11	36470b30-a3b3-4d28-851b-918a7ff88011	TCGA-55-8096	TCGA-LUAD	a5d9be94-1204-49cb-8758-1505d853564c	TCGA-55-8096-01A	released	11	39.0	False
9d96bea9-c5b4-404d-bd86-ffc54c370acf	TCGA-55-6987-01A-11	2efc156c-464a-4c2f-a854-39fefe32081c	TCGA-55-6987	TCGA-LUAD	d0bfb6cc-abc4-4b09-b668-1003f3eed1a7	TCGA-55-6987-01A	released	11	15.0	False
85feab3e-dfc8-43db-8b6b-ed3b5ddcb689	TCGA-55-6987-11A-01	2efc156c-464a-4c2f-a854-39fefe32081c	TCGA-55-6987	TCGA-LUAD	3a6bf033-558e-469d-8798-570b7b60c962	TCGA-55-6987-11A	released	01	60.0	False
1195da7c-5782-46d1-a429-dcb0a369ddc0	TCGA-95-8039-01A-11	87f1b3df-4bc7-4336-b658-f30ac1c5c796	TCGA-95-8039	TCGA-LUAD	8745dbd3-cf9f-4edb-b419-5f0bd590f273	TCGA-95-8039-01A	released	11	30.0	False
e99bce59-0e3c-4c7c-867d-73f1817c7bcd	TCGA-95-8039-10A-01	87f1b3df-4bc7-4336-b658-f30ac1c5c796	TCGA-95-8039	TCGA-LUAD	c5375e7f-5ea0-4282-bf67-c0b257c6e94e	TCGA-95-8039-10A	released	01	--	False
85e90f12-936a-4a5e-b0ab-dca1c6854b30	TCGA-93-7347-10A-01	ef03654a-dcf1-41ff-a67e-4f3fbf9ba807	TCGA-93-7347	TCGA-LUAD	fe750722-3129-41d4-b3b6-6dbcb9d327ab	TCGA-93-7347-10A	released	01	--	False
d6d16b23-2f85-4d40-a908-6ef6913f4b7a	TCGA-93-7347-01A-11	ef03654a-dcf1-41ff-a67e-4f3fbf9ba807	TCGA-93-7347	TCGA-LUAD	7e1638d3-f134-4dc8-becc-9f4d49d83024	TCGA-93-7347-01A	released	11	40.0	False
51977c6d-db8f-4f9e-b2d7-14cff6853314	TCGA-93-7347-11A-01	ef03654a-dcf1-41ff-a67e-4f3fbf9ba807	TCGA-93-7347	TCGA-LUAD	e14b64c7-1d5c-45cc-a5d7-9719bd71c29f	TCGA-93-7347-11A	released	01	70.0	False
db189ef5-c61b-4775-9db3-d931e9a71c24	TCGA-62-8397-01A-11	9240d5fc-de23-4436-8099-da9bd3054860	TCGA-62-8397	TCGA-LUAD	1a40c0ef-0b6f-48c9-98cc-b64e8660f2a3	TCGA-62-8397-01A	released	11	40.0	False
777221db-56f4-4e40-a5e5-1a3ecf2793db	TCGA-62-8397-11A-01	9240d5fc-de23-4436-8099-da9bd3054860	TCGA-62-8397	TCGA-LUAD	10e85428-04d4-4995-87d4-b46b91304735	TCGA-62-8397-11A	released	01	57.0	False
581c5019-83a2-40dc-952f-6d44679b69b8	TCGA-62-8397-10A-01	9240d5fc-de23-4436-8099-da9bd3054860	TCGA-62-8397	TCGA-LUAD	958d0477-c453-4ab8-8f73-eef1af37ddda	TCGA-62-8397-10A	released	01	--	False
28282701-af49-44ff-b633-1657b4e45ae6	TCGA-44-7669-10A-01	4b22ad71-c585-4077-ad3c-c6e026d0c7fa	TCGA-44-7669	TCGA-LUAD	25c103a5-4caa-43f0-9740-546624249242	TCGA-44-7669-10A	released	01	--	False
5bf1bdf4-a716-4eb7-84be-232d5589174e	TCGA-44-7669-01A-21	4b22ad71-c585-4077-ad3c-c6e026d0c7fa	TCGA-44-7669	TCGA-LUAD	37599a47-3ab8-4b42-a227-270e8652c160	TCGA-44-7669-01A	released	21	36.0	False
58a516e2-5056-4dbf-b60e-76ce109984db	TCGA-44-7669-01A-23-2192-20	4b22ad71-c585-4077-ad3c-c6e026d0c7fa	TCGA-44-7669	TCGA-LUAD	37599a47-3ab8-4b42-a227-270e8652c160	TCGA-44-7669-01A	released	23	--	False
811bf319-443c-4c4b-920d-978f8e725197	TCGA-44-7669-11A-01	4b22ad71-c585-4077-ad3c-c6e026d0c7fa	TCGA-44-7669	TCGA-LUAD	3b77d7ea-b21e-4f65-960b-d15dd57be21e	TCGA-44-7669-11A	released	01	70.0	False
d0a2168f-8bfe-4f8a-b2a7-a44200ef2e16	TCGA-62-A46R-01A-11	c497f8c7-2fb5-44d9-bc7c-69cfd0b51b54	TCGA-62-A46R	TCGA-LUAD	fbce7d71-f82c-4457-a1c5-53edd05a0ea4	TCGA-62-A46R-01A	released	11	30.0	False
b902bf89-cab7-4771-a55a-7127bd5a6a70	TCGA-62-A46R-01A-21-A45A-20	c497f8c7-2fb5-44d9-bc7c-69cfd0b51b54	TCGA-62-A46R	TCGA-LUAD	fbce7d71-f82c-4457-a1c5-53edd05a0ea4	TCGA-62-A46R-01A	released	21	--	False
67d837d7-22bd-4cfc-a8a9-9a345e3c6b89	TCGA-62-A46R-10A-01	c497f8c7-2fb5-44d9-bc7c-69cfd0b51b54	TCGA-62-A46R	TCGA-LUAD	d6f36e57-25e1-43bd-b1e9-bb614fb5bd4e	TCGA-62-A46R-10A	released	01	--	False
a9e94589-b427-4b44-98bb-315d8372d36c	TCGA-44-8119-01A-21-A45A-20	230dc42d-681c-4e31-9d2e-c724e61829fb	TCGA-44-8119	TCGA-LUAD	b671ceeb-72d0-40e3-8279-954e6ed242dd	TCGA-44-8119-01A	released	21	--	False
52bd5c6b-45dd-414f-81f4-a67de5988f38	TCGA-44-8119-01A-11	230dc42d-681c-4e31-9d2e-c724e61829fb	TCGA-44-8119	TCGA-LUAD	b671ceeb-72d0-40e3-8279-954e6ed242dd	TCGA-44-8119-01A	released	11	32.0	False
648ef143-96d1-4d98-88f3-dce6236fc8c0	TCGA-44-8119-11A-01	230dc42d-681c-4e31-9d2e-c724e61829fb	TCGA-44-8119	TCGA-LUAD	a82b1d48-b36d-4eaf-8658-3b19c7533203	TCGA-44-8119-11A	released	01	72.0	False
bbbe15c6-94c6-4aea-ba00-b0dd6a617e9c	TCGA-44-8119-10A-01	230dc42d-681c-4e31-9d2e-c724e61829fb	TCGA-44-8119	TCGA-LUAD	9f19b661-4624-4098-9656-a195ae1156b7	TCGA-44-8119-10A	released	01	--	False
f6dad777-efc7-4840-9137-1072978ee72d	TCGA-49-AAR9-11A-11	47b749e6-e060-4aa1-8f29-976e489ba789	TCGA-49-AAR9	TCGA-LUAD	10e8cc8a-cb5e-40c7-be44-555dc6102e4f	TCGA-49-AAR9-11A	released	11	30.0	False
fe100dcf-3b89-4471-b076-3091b78755cc	TCGA-49-AAR9-01A-31-A645-42	47b749e6-e060-4aa1-8f29-976e489ba789	TCGA-49-AAR9	TCGA-LUAD	9e129d06-15b7-4d89-bac0-9cb62c54dc5a	TCGA-49-AAR9-01A	released	31	20.0	False
f5e35ad2-8acf-49f8-a5fa-ade41aea5d84	TCGA-49-AAR9-01A-21	47b749e6-e060-4aa1-8f29-976e489ba789	TCGA-49-AAR9	TCGA-LUAD	9e129d06-15b7-4d89-bac0-9cb62c54dc5a	TCGA-49-AAR9-01A	released	21	30.0	False
707cced4-a991-406a-a988-bdff030229cd	TCGA-49-AAR9-01A-11-A45B-20	47b749e6-e060-4aa1-8f29-976e489ba789	TCGA-49-AAR9	TCGA-LUAD	9e129d06-15b7-4d89-bac0-9cb62c54dc5a	TCGA-49-AAR9-01A	released	11	--	False
78bf9ad7-3cbf-4c12-80a5-06cd08564d3c	TCGA-53-7813-10A-01	42d208bd-cd77-4bfb-ad53-9fc072a87393	TCGA-53-7813	TCGA-LUAD	c626569b-3eaf-497c-b46e-a66a016ac427	TCGA-53-7813-10A	released	01	--	False
79ce6d1e-9c27-4a2a-ba10-b19ce04fb1e6	TCGA-53-7813-01A-11	42d208bd-cd77-4bfb-ad53-9fc072a87393	TCGA-53-7813	TCGA-LUAD	8ab7f1ee-35f0-460c-8a4f-751748de5e4a	TCGA-53-7813-01A	released	11	32.0	False
a9fcd075-f885-4617-b67a-11b039062e93	TCGA-53-7813-01A-13-2192-20	42d208bd-cd77-4bfb-ad53-9fc072a87393	TCGA-53-7813	TCGA-LUAD	8ab7f1ee-35f0-460c-8a4f-751748de5e4a	TCGA-53-7813-01A	released	13	--	False
d371664f-54b7-46fc-bd68-94f4af77df46	TCGA-97-A4M1-01A-11	c0c879f7-c332-4d31-9f7e-a3bf361b36ee	TCGA-97-A4M1	TCGA-LUAD	a9c846b1-9ee0-4f96-85bf-b7dd53c4230c	TCGA-97-A4M1-01A	released	11	30.0	False
78f85542-a0ec-4c64-abb3-963f6a96f952	TCGA-97-A4M1-10A-01	c0c879f7-c332-4d31-9f7e-a3bf361b36ee	TCGA-97-A4M1	TCGA-LUAD	7984b890-1c06-45c5-bbde-3549603e309c	TCGA-97-A4M1-10A	released	01	2.0	False
2b7730e5-23cb-411a-bac7-ffff5bd234cc	TCGA-69-7978-10A-01	f462cfef-f60a-4d3e-b92d-b8d8f50b6bb3	TCGA-69-7978	TCGA-LUAD	4826dae4-d805-44f9-9b51-cc65ff25e5e5	TCGA-69-7978-10A	released	01	--	False
f5451e9e-49ac-4a5f-acdb-48bc55dd7649	TCGA-69-7978-01A-11	f462cfef-f60a-4d3e-b92d-b8d8f50b6bb3	TCGA-69-7978	TCGA-LUAD	edba8888-6d1b-43a7-988d-5df420922c80	TCGA-69-7978-01A	released	11	40.0	False
bbde7e4b-5d2e-4fa1-8548-7b4f87d96cfb	TCGA-78-7166-01A-23-2192-20	b40d0849-f4ef-4a14-9732-9beb708cb46b	TCGA-78-7166	TCGA-LUAD	7ec420fc-c770-4cb8-a186-8ce94f791444	TCGA-78-7166-01A	released	23	--	False
4deb13bb-0257-44ac-aab1-24740228a658	TCGA-78-7166-01A-12	b40d0849-f4ef-4a14-9732-9beb708cb46b	TCGA-78-7166	TCGA-LUAD	7ec420fc-c770-4cb8-a186-8ce94f791444	TCGA-78-7166-01A	released	12	38.0	False
9c0018e4-1cef-4a50-8bf8-1829d0406554	TCGA-78-7166-11A-01	b40d0849-f4ef-4a14-9732-9beb708cb46b	TCGA-78-7166	TCGA-LUAD	42f6da97-7725-42a3-ac10-d6b16c05a8f1	TCGA-78-7166-11A	released	01	78.0	False
657806d4-36c2-42ed-aee6-6352b68a8b95	TCGA-93-A4JQ-10A-01	7093024b-cf56-4783-b973-b72573ed7f2b	TCGA-93-A4JQ	TCGA-LUAD	18fa789c-d6cb-43e0-9172-496a441caf88	TCGA-93-A4JQ-10A	released	01	2.0	False
9afd5bd9-a03d-44a1-8402-d883342ae53f	TCGA-93-A4JQ-01A-11	7093024b-cf56-4783-b973-b72573ed7f2b	TCGA-93-A4JQ	TCGA-LUAD	0d7f5772-0319-4b56-9970-49fd21082f04	TCGA-93-A4JQ-01A	released	11	30.0	False
84b38240-83d1-4303-89b6-fd624e2f8eb8	TCGA-93-A4JQ-01A-22-A646-42	7093024b-cf56-4783-b973-b72573ed7f2b	TCGA-93-A4JQ	TCGA-LUAD	0d7f5772-0319-4b56-9970-49fd21082f04	TCGA-93-A4JQ-01A	released	22	20.0	False
85a3c8f3-775d-4804-b703-8b0b7ff963b1	TCGA-93-A4JQ-01A-21-A45B-20	7093024b-cf56-4783-b973-b72573ed7f2b	TCGA-93-A4JQ	TCGA-LUAD	0d7f5772-0319-4b56-9970-49fd21082f04	TCGA-93-A4JQ-01A	released	21	--	False
57928871-19a3-4f4e-8cc3-33789a715d31	TCGA-50-6592-11A-01	09918b81-4696-4cba-a45a-5fe7407c2337	TCGA-50-6592	TCGA-LUAD	6c1516a2-6916-4d9b-949d-4f5abb97b94c	TCGA-50-6592-11A	released	01	36.0	False
fbd230f6-3b08-4ff3-8860-d306844eac3d	TCGA-50-6592-01A-11	09918b81-4696-4cba-a45a-5fe7407c2337	TCGA-50-6592	TCGA-LUAD	01f94091-eb70-40d3-9d56-70c4f847cb4c	TCGA-50-6592-01A	released	11	33.0	False
14deca38-5943-4ef6-8735-ba83e03eb3a7	TCGA-50-6592-01A-13-2191-20	09918b81-4696-4cba-a45a-5fe7407c2337	TCGA-50-6592	TCGA-LUAD	01f94091-eb70-40d3-9d56-70c4f847cb4c	TCGA-50-6592-01A	released	13	--	False
b9d17a2e-4748-4ce0-91e5-2f013cb7d4f1	TCGA-78-7143-10A-01	54254f5a-50e8-4150-a9b7-56a0470d2a56	TCGA-78-7143	TCGA-LUAD	395cfde3-b76f-4358-bd47-acf9cd673ab6	TCGA-78-7143-10A	released	01	--	False
de7019fd-493c-4c57-a720-3b20049d5e82	TCGA-78-7143-01A-13-2192-20	54254f5a-50e8-4150-a9b7-56a0470d2a56	TCGA-78-7143	TCGA-LUAD	ee72f78d-e5db-4c99-9034-0b5bbf6df849	TCGA-78-7143-01A	released	13	--	False
f21d0b69-ca4b-44b7-a8b8-19cfdfa4b4ff	TCGA-78-7143-01A-11	54254f5a-50e8-4150-a9b7-56a0470d2a56	TCGA-78-7143	TCGA-LUAD	ee72f78d-e5db-4c99-9034-0b5bbf6df849	TCGA-78-7143-01A	released	11	33.0	False
7733db03-2ab1-4003-9edc-e9af323dceed	TCGA-MP-A4TI-10A-01	f327dea0-2d30-482f-809c-76a148a749b7	TCGA-MP-A4TI	TCGA-LUAD	4098dbc0-9be3-4fbf-8fbb-8a32ca183be8	TCGA-MP-A4TI-10A	released	01	--	False
