aliquot_id	aliquot_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	no_matched_normal_targeted_sequencing	aliquot_quantity	aliquot_volume	state	source_center	analyte_type	no_matched_normal_wxs	no_matched_normal_low_pass_wgs	selected_normal_wgs	selected_normal_targeted_sequencing	amount	no_matched_normal_wgs	selected_normal_low_pass_wgs	selected_normal_wxs	concentration	analyte_type_id
f16725ff-8553-4734-b578-b038b7b9eca8	TCGA-93-A4JO-01A-12-A646-42-X040-S01_aliquot	3daebe75-c6df-478e-8a4c-11186fd5ead9	TCGA-93-A4JO	TCGA-LUAD	e88b670d-57af-4001-a9f3-0e13496b426a	TCGA-93-A4JO-01A	ecbd63b4-2b0b-4e3c-a25d-a3580ceaf276	TCGA-93-A4JO-01A-12-A646-42	9d4bb926-8752-420a-9b5b-337985307362	TCGA-93-A4JO-01A-12-A646-42-X040-S01	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
bdb485da-b6bb-40c6-ba01-25b6918efdf9	TCGA-44-2668-01B-02R-A693-34	bab43415-d413-40be-a4c0-2c40a52afe6a	TCGA-44-2668	TCGA-LUAD	68b681f2-4f7e-43ec-8260-b4b8797b1224	TCGA-44-2668-01B	53dbb86b-dd89-4c8f-8db8-b167b7e2b4ce	TCGA-44-2668-01B-02	a3b97122-9c23-4799-8dd9-0bf82a0d3893	TCGA-44-2668-01B-02R	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.17	--
9d4c0a38-4da3-44e5-be82-ec36f9d5c123	TCGA-91-6848-11A-01R-A574-07	0232d299-4cdf-4fd7-9a5e-8d13c208b40c	TCGA-91-6848	TCGA-LUAD	5df2899e-b0f2-4508-917f-2f785f312419	TCGA-91-6848-11A	4a17acfc-2f2a-4956-96d8-1aedd3040c1d	TCGA-91-6848-11A-01	fa8c1152-64ba-42df-b89e-62740c2bd12b	TCGA-91-6848-11A-01R	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.15	--
360dc7d6-cc31-46ef-aa63-ec1cca5615d1	TCGA-MP-A4T7-10A-01D-A706-36	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7	TCGA-LUAD	bd709919-ab1f-4864-8cba-48b367235398	TCGA-MP-A4T7-10A	61fee7ff-06b6-4e85-8c10-37133c57b0af	TCGA-MP-A4T7-10A-01	d4bc0a16-7ca1-4a4f-9fd2-44e06b893220	TCGA-MP-A4T7-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.17	--
af2b93e4-3143-47a4-a71a-cc4f5b404629	TCGA-MP-A4T7-01A-22-A646-42-X026-S01_aliquot	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7	TCGA-LUAD	b4c61d50-4631-442d-b518-ca666d0243f5	TCGA-MP-A4T7-01A	07b8c449-3062-436f-8274-4c27887bf8ab	TCGA-MP-A4T7-01A-22-A646-42	742be32c-9f11-4a72-b38e-92f932db14b9	TCGA-MP-A4T7-01A-22-A646-42-X026-S01	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
76b822a7-92ac-443a-a133-51aa0508a7b3	TCGA-MP-A4T7-01A-11D-A706-36	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7	TCGA-LUAD	b4c61d50-4631-442d-b518-ca666d0243f5	TCGA-MP-A4T7-01A	92629e01-766f-493c-8a80-db9a2730bf69	TCGA-MP-A4T7-01A-11	63d56287-f77d-4f08-b67f-7b945f213257	TCGA-MP-A4T7-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.17	--
f2e0230d-2654-42c0-bf48-10487cbb447e	TCGA-MP-A4T7-01A-11D-A729-36	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7	TCGA-LUAD	b4c61d50-4631-442d-b518-ca666d0243f5	TCGA-MP-A4T7-01A	92629e01-766f-493c-8a80-db9a2730bf69	TCGA-MP-A4T7-01A-11	63d56287-f77d-4f08-b67f-7b945f213257	TCGA-MP-A4T7-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.17	--
54e16000-efb2-4ec1-a301-00af03d4053a	TCGA-44-2656-01B-06R-A693-34	42ca54fc-c1ae-41cd-bca1-7fe9810db460	TCGA-44-2656	TCGA-LUAD	14f26352-b073-4ed8-8b2a-96b9429f25a0	TCGA-44-2656-01B	69ce4b02-c900-472b-b254-0adfefcfd35b	TCGA-44-2656-01B-06	c5c8f6e5-4b3d-4c70-8579-fecadcdd0884	TCGA-44-2656-01B-06R	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
f38b9797-fcd1-4452-9178-756b51793e27	TCGA-91-A4BD-10A-01D-A702-36	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD	TCGA-LUAD	7181f94d-82bb-4235-8998-27a03e43dee4	TCGA-91-A4BD-10A	0e0e3815-c615-4b6f-b0a8-a1077fa9a444	TCGA-91-A4BD-10A-01	99ea0376-f8f0-4ab2-8bdc-f7a638f738cc	TCGA-91-A4BD-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
a3ca3146-fe88-4397-8784-08bd9be8a146	TCGA-91-A4BD-01A-11D-A702-36	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD	TCGA-LUAD	6e10437d-da57-4298-b082-9d7c59d09c5c	TCGA-91-A4BD-01A	58908905-5825-45a1-baef-3ea9cfb52a1d	TCGA-91-A4BD-01A-11	3f9bdc35-f4db-401f-b84c-eac196e54a88	TCGA-91-A4BD-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
edb25338-12ee-4f1f-86e7-3f83628edd1e	TCGA-91-A4BD-01A-11D-A729-36	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD	TCGA-LUAD	6e10437d-da57-4298-b082-9d7c59d09c5c	TCGA-91-A4BD-01A	58908905-5825-45a1-baef-3ea9cfb52a1d	TCGA-91-A4BD-01A-11	3f9bdc35-f4db-401f-b84c-eac196e54a88	TCGA-91-A4BD-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
44c16d21-aeda-4d11-871d-36bbdd22e7e9	TCGA-91-A4BD-01A-22-A646-42-X037-S01_aliquot	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD	TCGA-LUAD	6e10437d-da57-4298-b082-9d7c59d09c5c	TCGA-91-A4BD-01A	18b8c125-d05c-4ac1-a739-fcc610777b0f	TCGA-91-A4BD-01A-22-A646-42	4e287ad4-4bc4-4a04-ac0d-bf323d126622	TCGA-91-A4BD-01A-22-A646-42-X037-S01	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
fbf3a88f-5308-4234-874d-8a99e971efaa	TCGA-44-A47F-01A-22-A602-42-X004-S02_aliquot	f61d599a-43bd-4743-9568-678317e75955	TCGA-44-A47F	TCGA-LUAD	6c128256-bbac-4705-a261-8fedd9e558cf	TCGA-44-A47F-01A	48a8548f-79b1-4013-a31c-b2bfdd33f634	TCGA-44-A47F-01A-22-A602-42	7e4ff156-39b6-4e35-899f-f5e2240d2720	TCGA-44-A47F-01A-22-A602-42-X004-S02	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
1b9d52af-09b9-4975-9534-6c7daef96f2a	TCGA-44-A47F-01A-11D-A702-36	f61d599a-43bd-4743-9568-678317e75955	TCGA-44-A47F	TCGA-LUAD	6c128256-bbac-4705-a261-8fedd9e558cf	TCGA-44-A47F-01A	18f6a033-0eea-4303-b606-e202c633ee1d	TCGA-44-A47F-01A-11	7dda855c-9500-4609-9042-dfd07bcc1edf	TCGA-44-A47F-01A-11D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
0a926780-9a57-4879-aefd-84904ab0108b	TCGA-44-A47F-10A-01D-A702-36	f61d599a-43bd-4743-9568-678317e75955	TCGA-44-A47F	TCGA-LUAD	8cd2eb95-fe3d-4814-bd01-a5474963a7d6	TCGA-44-A47F-10A	a8ebe9e4-b51d-4351-bf3b-f612fae32a84	TCGA-44-A47F-10A-01	ecaba0e6-d69f-4ac8-b5d6-0b1f7bad766f	TCGA-44-A47F-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
af101d0e-a095-4443-b4ce-28148ba0be0d	TCGA-95-A4VP-01A-21D-A729-36	9e22a3af-7f28-4757-8684-ed64a2a27ad1	TCGA-95-A4VP	TCGA-LUAD	4ed3eaec-0085-4115-bbe7-27645b6a3a8b	TCGA-95-A4VP-01A	462f4849-a73b-452f-a64f-336d69133d46	TCGA-95-A4VP-01A-21	2446270c-d8d7-4126-8eb2-a35b6f4a7f46	TCGA-95-A4VP-01A-21D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
7519fe02-5bff-47fc-903d-390f390f4f38	TCGA-95-A4VP-01A-21D-A75I-36	9e22a3af-7f28-4757-8684-ed64a2a27ad1	TCGA-95-A4VP	TCGA-LUAD	4ed3eaec-0085-4115-bbe7-27645b6a3a8b	TCGA-95-A4VP-01A	462f4849-a73b-452f-a64f-336d69133d46	TCGA-95-A4VP-01A-21	2446270c-d8d7-4126-8eb2-a35b6f4a7f46	TCGA-95-A4VP-01A-21D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
6028fcf1-afc3-4ab8-b6ae-0402bc4d0450	TCGA-95-A4VP-01A-21D-A702-36	9e22a3af-7f28-4757-8684-ed64a2a27ad1	TCGA-95-A4VP	TCGA-LUAD	4ed3eaec-0085-4115-bbe7-27645b6a3a8b	TCGA-95-A4VP-01A	462f4849-a73b-452f-a64f-336d69133d46	TCGA-95-A4VP-01A-21	2446270c-d8d7-4126-8eb2-a35b6f4a7f46	TCGA-95-A4VP-01A-21D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
4c699d4e-a14d-4995-ae5a-499316a00157	TCGA-95-A4VP-10A-01D-A702-36	9e22a3af-7f28-4757-8684-ed64a2a27ad1	TCGA-95-A4VP	TCGA-LUAD	15b98be9-ca8c-4bd0-a3d2-56503f373af2	TCGA-95-A4VP-10A	d33de772-70ef-4cd1-8c1f-2b2072601b71	TCGA-95-A4VP-10A-01	52bca27f-2606-463d-8e9b-82f0a0f115b9	TCGA-95-A4VP-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.02	--
3008a89a-1419-45d8-966d-294e73fd69d2	TCGA-95-A4VP-10A-01D-A75I-36	9e22a3af-7f28-4757-8684-ed64a2a27ad1	TCGA-95-A4VP	TCGA-LUAD	15b98be9-ca8c-4bd0-a3d2-56503f373af2	TCGA-95-A4VP-10A	d33de772-70ef-4cd1-8c1f-2b2072601b71	TCGA-95-A4VP-10A-01	52bca27f-2606-463d-8e9b-82f0a0f115b9	TCGA-95-A4VP-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.14	--
28a01f8c-96b0-4b4a-b0cf-030abb8b5cd7	TCGA-MP-A4TE-01A-12-A646-42-X032-S03_aliquot	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE	TCGA-LUAD	3e11762a-faf0-489d-8985-8ede2ccabd76	TCGA-MP-A4TE-01A	8b7e9fca-c6cf-45a8-8a9b-646198bb6495	TCGA-MP-A4TE-01A-12-A646-42	d5bd3483-4991-4e2b-bc64-55a541f92385	TCGA-MP-A4TE-01A-12-A646-42-X032-S03	--	--	--	released	--	DNA	--	--	--	--	--	--	--	--	--	--
a4e27027-48ec-4d56-8f03-ce5bce06a9b5	TCGA-MP-A4TE-01A-22D-A706-36	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE	TCGA-LUAD	3e11762a-faf0-489d-8985-8ede2ccabd76	TCGA-MP-A4TE-01A	c5e639c5-a6ff-4a9b-ad28-467e10491ec5	TCGA-MP-A4TE-01A-22	e3c54210-3d66-4fba-a56d-8e0c26e07763	TCGA-MP-A4TE-01A-22D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
8d18acbc-42d7-4c11-9554-9640c869b090	TCGA-MP-A4TE-01A-22D-A729-36	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE	TCGA-LUAD	3e11762a-faf0-489d-8985-8ede2ccabd76	TCGA-MP-A4TE-01A	c5e639c5-a6ff-4a9b-ad28-467e10491ec5	TCGA-MP-A4TE-01A-22	e3c54210-3d66-4fba-a56d-8e0c26e07763	TCGA-MP-A4TE-01A-22D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
4c76445c-5edb-4693-8ad0-1d7e1df343b4	TCGA-MP-A4TE-10A-01D-A706-36	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE	TCGA-LUAD	52b50d3b-d95d-48b4-9330-f9e8271538f9	TCGA-MP-A4TE-10A	28f2f533-f248-4a6d-a1bd-41ee1e6602da	TCGA-MP-A4TE-10A-01	082bc4a8-dbd2-47c2-85b7-7f6b6b910812	TCGA-MP-A4TE-10A-01D	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.16	--
1c51f714-fb7d-44b3-b387-573c1415e6a8	TCGA-44-4112-01B-06R-A693-34	68b86559-38b2-41f2-b66e-c3c2b628b14d	TCGA-44-4112	TCGA-LUAD	8cc50f81-9018-462c-8843-1ea8ce1eff1a	TCGA-44-4112-01B	24480f47-dad2-481e-a0c7-0e3f85502adc	TCGA-44-4112-01B-05	d9d0678c-1009-4762-a605-73574018ebad	TCGA-44-4112-01B-06R	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.15	--
4e8e5c1e-d951-4529-93f0-44968bd916f4	TCGA-44-4112-11A-21R-A574-07	68b86559-38b2-41f2-b66e-c3c2b628b14d	TCGA-44-4112	TCGA-LUAD	6d41ef8f-9599-40f3-8a7d-32de1ed0acc0	TCGA-44-4112-11A	0422edc7-6c5e-468c-ac4f-0c642e4b44b7	TCGA-44-4112-11A-21	d344940c-e60b-46e5-be91-14ce157d4e73	TCGA-44-4112-11A-21R	--	--	--	released	23	--	--	--	--	--	--	--	--	--	0.12	--
