	GSM2785932	GSM2785933	GSM2785934	GSM2785935	GSM2785936	GSM2785937	GSM2785938	GSM2785939	GSM2785940	GSM2785941	GSM2785942	GSM2785943	GSM2785944	GSM2785945	GSM2785946	GSM2785947	GSM2785948	GSM2785949	GSM2785950	GSM2785951	GSM2785952	tvalue	pvalue
RNA162391|XLOC_014072	-4.1407356	-3.01588	-2.9423628	-2.3065882	-4.3629303	-3.7400317	-5.607576	-4.3113422	-4.3101482	-3.5806217	-4.006543	-3.686657	-4.697356	-4.119893	-3.6325188	-2.71109	-4.2864804	-4.1771193	-3.7375717	-3.3532324	-5.0069523	-5.68615720626702	0.000461696218041817
RNA163096|XLOC_003871	-2.4851255	-1.6289067	-1.668499	-0.8506794	-2.1340904	-1.7572479	-2.9577618	-2.5315514	-2.0353112	-1.5991483	-1.9679718	-1.8161926	-2.7060318	-2.1408753	-1.9393754	-1.3332486	-1.8167915	-1.5929227	-2.07521	-1.8583117	-2.7394662	-6.16383127539892	0.000269877990281015
RNA164568|XLOC_005917	-0.48336124	0.14275646	0.57310486	1.2701759	0.6590538	1.0650263	-0.65783787	-0.3739462	-0.29374504	-0.16321373	1.0102253	1.2289362	-0.5413456	-0.04473114	0.07018757	0.53943443	-0.09511185	0.1930275	-0.1591425	0.29930687	-1.0335283	-6.38665622904604	0.000212129898476118
RNA164945|XLOC_006620	-1.9331961	-1.5152221	-1.4123831	-0.8475714	-1.8722305	-1.5181599	-2.6665359	-2.031611	-1.6533713	-1.2835803	-1.509779	-1.5414143	-2.503604	-1.836731	-1.7362881	-1.2714157	-1.7024169	-1.4280295	-1.6373205	-1.6946883	-2.8833785	-5.82535647039098	0.000393635928844735
RNA165247|XLOC_006879	0.07009506	0.48745632	1.1329784	2.237791	0.64565754	1.7679825	-0.59609413	-0.2476492	-0.3148079	0.74601364	0.53466225	1.036478	0.5353775	0.89261436	0.361516	1.3579178	0.47722816	0.79138565	0.4875946	0.81250477	-0.6694255	-5.67562913674951	0.000467347139991788
RNA165892|XLOC_008081	-6.407491	-5.3301797	-5.749323	-4.7407317	-5.099348	-4.808878	-6.3845305	-5.0539947	-6.025286	-5.7426815	-5.6099796	-4.6794972	-6.6829815	-5.725404	-4.8367214	-4.504314	-5.630904	-4.989697	-6.0221715	-5.58461	-4.7750998	-5.89313993265108	0.000364554340881014
RNA165950|XLOC_008300	-4.757653	-3.8564177	-3.2463026	-2.0497952	-5.0324125	-3.9554482	-5.82054	-4.5909095	-5.0306644	-4.673633	-4.544124	-3.747775	-5.74481	-4.1457343	-4.4396057	-4.087366	-4.4782434	-4.1619406	-4.6078544	-4.61506	-5.4160147	-5.73576099067305	0.000436062685687793
RNA172456|ENST00000516267	-4.1792755	-3.412621	-4.353965	-3.2040606	-4.548209	-4.067958	-4.952587	-3.9302287	-3.8615026	-3.5688524	-4.2789626	-3.9860578	-6.44749	-5.2743025	-3.6201315	-3.0747833	-4.187951	-3.411212	-4.735718	-5.372804	-5.3229494	-6.32084867821805	0.000227621764985059
RNA176523|ENST00000511515	-3.786852	-2.9781556	-2.9564352	-1.7374506	-3.0750952	-2.869564	-3.9603744	-2.9983783	-3.2829056	-2.5739403	-3.0264354	-2.517271	-4.0927486	-3.3055086	-2.6658692	-2.2664595	-2.9513693	-2.6969619	-2.991753	-3.0900626	-5.2113886	-5.80123177649862	0.00040459457319072
RNA34108|NRED_239_2882	-2.3953123	-2.7231684	-4.3480253	-5.479497	-2.5220318	-3.5189133	-2.1733594	-2.1898031	-3.2444596	-4.1698265	-1.8051987	-3.3519883	-2.925294	-4.4107575	-4.1987047	-5.4386353	-3.5023475	-5.0000887	-4.6224127	-4.417346	-4.03864	5.72581243175156	0.000441075640406003
RNA34737|NRED_869_1543	-1.865695	-2.4110608	-3.0061584	-3.1291294	-1.9801254	-3.4341083	-1.6082602	-2.7647839	-1.8693676	-2.825356	-1.1457396	-2.5167227	-2.033163	-3.7090502	-1.8584204	-3.353457	-1.1237307	-1.9957271	-4.0876603	-4.4687843	-2.0137014	6.40445905720053	0.000208141582037718
RNA35603|ENCODE_471_1220	-3.8748178	-3.2320127	-3.1652465	-2.599121	-3.0571327	-2.6593642	-4.7040024	-4.3067513	-3.3385963	-2.7100735	-3.6774502	-3.102243	-4.3175163	-3.7492495	-3.220302	-2.704671	-3.444521	-3.5143404	-3.7351322	-3.3695374	-5.3081465	-6.38223429747052	0.000213133562096334
RNA35782|ENCODE_651_892	-4.0729017	-3.3065429	-2.935524	-2.4721737	-3.9364738	-3.3772206	-4.1996145	-3.8806534	-3.7964373	-3.3394861	-4.2259426	-3.7080936	-4.6194096	-3.6651182	-2.9326181	-2.5511785	-3.4253035	-3.157733	-3.6885538	-3.5689368	-4.868148	-7.15416038750333	9.66960647683846e-05
RNA36260|ENCODE_1130_672	-1.3536568	-2.0868816	-2.3167553	-3.0090084	-1.622179	-2.0372849	-0.88517094	-1.7279506	-1.6384563	-3.140545	0.40210915	-1.067831	-1.9923162	-3.352046	-3.6559982	-3.9337082	-1.8468151	-2.5752554	-2.3328614	-2.1750774	-1.1188488	5.9342660986011	0.000348067119853153
RNA36499|ENCODE_1369_589	-0.14979076	-2.7025437	-3.5252666	-4.8828654	1.6741552	-2.5819988	-0.5515518	-2.7987719	-0.0729208	-3.1974053	1.2525597	-0.11071968	-0.8717556	-4.0755224	-2.0772662	-4.231682	-0.6628294	-1.7719264	-3.1608238	-3.2107172	-0.37909698	6.89199343673354	0.000125538867483979
RNA36538|ENCODE_1408_579	-1.0582037	-1.2329054	-1.071868	-1.6288118	-1.4100361	-1.8385677	-0.5779104	-1.410636	-0.6759968	-1.5353403	-0.40618706	-0.9508438	-0.5369406	-1.0112743	-0.6532421	-1.4257832	-0.2104168	-0.67287254	-1.0328817	-0.66205597	-0.1510477	7.69402248852869	5.77564503897575e-05
RNA36619|ENCODE_1489_566	-2.455369	-1.7458725	-0.9758005	-0.51141405	-2.1656837	-1.3841114	-2.6043773	-2.5638704	-2.5717711	-1.7454495	-1.7246399	-1.4385986	-2.4851432	-1.7492719	-2.3076344	-1.1266909	-2.5539513	-1.6742344	-1.8532844	0.80488396	-0.94903374	-5.76651304886949	0.000420958923765494
RNA37007|ENCODE_1877_487	-2.6825557	-1.8209877	-1.6393995	-0.6985941	-1.5634327	-1.294816	-2.821764	-2.299663	-2.299549	-1.8863487	-1.2475481	-1.0410538	-2.7845488	-2.1402125	-1.5516214	-1.0504446	-2.1492147	-1.7907238	-2.102923	-2.00065	-2.916235	-6.23697646555684	0.000249204198278524
RNA37259|ENCODE_2130_444	-6.9625425	-6.455326	-5.968609	-5.36087	-6.70846	-6.3818917	-6.4477615	-5.487271	-6.428377	-5.68635	-7.2061167	-6.9941483	-6.4133873	-5.9593515	-6.5945015	-6.2044106	-5.5512476	-4.849748	-6.6562066	-5.7960234	-5.3003936	-7.02946399173179	0.000109379300407435
RNA37875|ENCODE_2747_315	1.225482	1.3220968	1.7155972	2.0793877	1.6447077	1.757226	0.9160929	1.1343145	0.70080376	1.0727167	1.6879025	1.9022427	1.0076962	1.3625565	1.5593843	1.747097	1.018137	1.4574547	1.3052311	1.1621342	1.5602188	-6.37066570342175	0.000215784217980475
RNA37878|ENCODE_2750_312	-5.1226883	-4.1726217	-4.3236494	-3.2858605	-4.2640166	-3.9543796	-6.4303217	-4.594314	-6.093832	-4.648142	-4.481644	-3.6067095	-4.5063205	-3.6643772	-4.062942	-3.586608	-4.6961308	-3.6174393	-4.658252	-3.7310095	-5.422347	-6.40655671665187	0.000207677127279794
RNA39107|RefSeq_1068_2678	-5.109723	-4.0815988	-3.9082165	-2.909627	-4.4152117	-3.825934	-5.587248	-4.638454	-4.272519	-3.5785737	-4.294357	-3.8314047	-4.8677926	-3.725102	-3.5428672	-3.5389886	-3.8235526	-3.4203458	-4.0015764	-2.9713616	-3.942154	-5.64851141316399	0.000482255578549152
RNA39296|RefSeq_1264_2434	-5.4193964	-4.8960276	-4.2505198	-3.2421336	-4.8187866	-4.809349	-5.5157013	-4.8689113	-5.05264	-4.1391835	-5.193474	-4.297678	-6.5715647	-5.7855816	-4.649578	-4.0562553	-5.1104813	-4.3784127	-5.182552	-4.28195	-5.424342	-6.85606025725624	0.000130186812374021
RNA39944|RefSeq_1966_1767	-0.18158722	0.18069744	0.49795341	0.41832447	-0.29877663	0.11472607	-0.38412285	-0.041823387	0.22337723	0.6070576	-0.6637325	-0.31213188	0.09053707	0.35291767	0.14265537	0.39418602	0.10050392	0.48416615	0.41150093	0.091376305	-0.033061028	-5.88727709299906	0.000366973925390644
RNA40484|RefSeq_2542_1239	-0.75177383	-0.40651035	-0.64263153	-0.31854248	-0.8067093	-0.5103121	-0.6741724	-0.42238903	-0.09991741	0.43818855	-1.1138172	-0.84128284	-0.27660465	0.06754875	-0.29335308	-0.15685081	-0.21184921	0.5503845	0.27001	0.5398674	-0.9123025	-5.95144873343435	0.000341423283314978
RNA40577|RefSeq_2642_1137	-0.75903225	-1.1696205	-0.093523026	-1.2625899	-0.8832569	-2.4519749	-0.25521564	-1.4867725	0.43575478	-1.2507601	0.14926147	-0.97021484	-0.9007044	-1.7060547	-0.5217829	-1.1301165	-0.33516407	-0.7968111	-1.2219591	-2.0865092	-0.32367325	6.51528015612724	0.000185101621669252
RNA41220|RefSeq_3349_435	-4.012185	-3.3728628	-3.3760424	-3.3875847	-3.651164	-3.2533622	-4.9410863	-4.237776	-4.9237227	-4.2470703	-3.7269363	-2.8724818	-5.708368	-4.640813	-3.8160334	-2.478066	-4.265251	-3.426569	-4.8678203	-4.4470043	-5.3387957	-5.63941451158865	0.000487373161920173
RNA42907|UCSC_546_5011	1.0261116	1.4923983	1.6364775	2.5404205	0.07466698	1.4046593	1.3180056	1.9074659	1.3259096	2.4105988	-0.43758392	0.30079937	1.2907133	2.0645008	1.9622488	2.0835905	2.1073456	2.6837864	1.6335821	2.0484037	1.7878284	-6.2035512026438	0.000258426442602604
RNA43115|UCSC_796_4439	-4.076889	-3.022262	-1.8549433	-1.6372852	-3.4531755	-2.9984298	-4.248637	-3.8504124	-3.9675193	-2.9064054	-3.476163	-2.9896364	-4.317578	-2.8618069	-2.8293986	-2.0479565	-3.3643541	-2.236117	-3.5046268	-3.4381542	-5.3672676	-5.63604752534688	0.000489282404725439
RNA43191|UCSC_883_4271	-2.0363808	-1.4363675	-1.159359	-0.7116842	-2.83075	-1.8520927	-2.2149963	-1.1181669	-2.3181915	-1.530549	-3.4737258	-2.264347	-2.3624153	-1.3122587	-1.8291135	-1.0573564	-1.5853548	-1.1330729	-1.6999421	-1.4135017	-0.8225446	-8.76947475192641	2.24168474071233e-05
RNA43790|UCSC_1597_3479	0.7703819	0.034279823	-0.7503114	-1.1632104	0.09074974	-0.44321632	1.0457468	0.56878567	-1.9212008	-2.1698785	1.2719145	0.28134155	-1.0810633	-1.5843096	-1.2534494	-1.7212005	-1.404872	-1.9067402	-2.4749136	-1.5147581	0.22584534	7.71468322874933	5.66606309244709e-05
RNA44621|UCSC_2616_2797	2.8379421	3.5259295	3.2995558	3.8087797	3.442912	3.7578382	2.3455667	2.8215666	2.8779507	3.268938	3.504589	3.4894848	2.723692	3.2854128	2.957427	3.2270336	2.866475	3.5701752	3.1312284	3.1235065	1.7503777	-5.77119651840165	0.000418709544539698
RNA44764|UCSC_2799_2710	-0.6845722	-0.8657217	0.042300224	-0.28442574	-0.2678089	-0.69156075	-0.5694437	-0.63856506	0.002411842	-0.29568577	-0.50629807	-0.8047552	-0.021144867	-0.30091667	0.047650337	-0.042717934	-0.14707184	-0.46520996	-0.065888405	0.12193775	-0.4454193	6.52491965676869	0.000183234807971173
RNA45108|UCSC_3218_2516	0.80182457	0.07133007	0.2301979	-0.7359133	0.6463728	0.042243958	1.1964273	0.1485796	1.3923244	0.6921234	1.590908	0.6995487	1.1152506	0.18545723	0.24591637	-0.27188206	0.4284048	0.51920223	0.74297905	0.5667372	0.6439533	6.09131089557148	0.000292257230045505
RNA46034|UCSC_4394_2136	-3.3295403	-2.1980553	-3.6768703	-3.1934004	-3.538406	-3.06139	-4.852757	-3.376853	-4.30591	-3.6136456	-3.3494806	-2.7144232	-4.0904856	-3.4954681	-4.670745	-3.161189	-3.601118	-2.826332	-4.391842	-3.8694978	-5.245142	-6.38109793327694	0.000213392333154799
RNA46328|UCSC_4758_2046	1.0966167	1.154212	1.6937695	1.8813496	0.7485485	1.0613308	1.0835638	1.727376	1.7118845	2.1033268	0.40613556	0.7186146	0.9356203	1.3084326	1.0777645	1.5819206	1.04739	1.3810616	1.8041496	1.0915833	1.3249235	-6.16479550680098	0.000269593457856232
RNA46751|UCSC_5278_1929	-3.8866034	-2.8319168	-2.9404688	-1.873621	-3.6313462	-3.3104105	-4.5302105	-3.6641054	-3.3978386	-3.0055141	-3.65099	-3.4929	-4.067281	-3.58078	-3.2596169	-2.6519542	-3.7324667	-3.011345	-3.394884	-3.4243336	-5.3714437	-5.8684402745761	0.000374868232089731
RNA47384|UCSC_6028_1755	-6.3153477	-5.708956	-5.8087	-4.2505255	-5.665254	-4.861552	-6.4967737	-6.055805	-6.3390474	-4.764362	-6.17748	-5.380809	-6.0636015	-5.8393135	-6.3850417	-5.141606	-5.590088	-4.0065594	-5.2435145	-5.4931197	-5.4313254	-5.62991277046034	0.000492782259250202
RNA47560|UCSC_6268_1701	-3.984671	-3.289857	-2.5312934	-2.176396	-3.2011342	-2.6950064	-4.4876986	-4.2701683	-3.7818613	-3.6124802	-2.9850917	-2.781147	-3.8213744	-3.2756138	-3.117021	-2.5161915	-4.371933	-3.791852	-3.3185468	-2.9404354	-5.0733147	-6.55008972618739	0.00017845762458582
RNA48796|UCSC_7770_1336	-1.0546722	-0.585639	-0.19352722	0.6171913	-0.42176342	-0.27308083	-1.1447992	-0.95242786	-0.8318672	-0.3915329	-0.6484804	-0.26029015	-1.0864849	-0.6777754	-0.52860546	-0.02287674	-0.7460432	-0.31813812	-0.6307621	0.22784996	-1.428299	-6.64466882039843	0.000161698901676314
RNA48853|UCSC_7833_1320	-0.023517609	-1.7156882	-1.1266813	-3.215272	-1.0235777	-2.4420257	-0.5002699	-2.0754094	-1.6786556	-2.3710418	0.56206703	-1.0315275	-2.1318436	-2.828896	-2.8196049	-3.168562	-2.00556	-3.5113597	-0.70129585	-2.5508451	-1.2931881	6.75043191176679	0.000144989480152508
