	Estimate	Std. Error	t value	Pr(>|t|)	idx	beta	pval	cilb	ciub	i2	tau2	Symbol	coef	exp(coef)	se(coef)	z	Pr(>|z|)
ENSG00000150753.10	0.172025686871171	0.0240663547732733	7.1479743605464	3.94121097791567e-12	3682	0.658909023443142	7.18737244014702e-11	0.460735239503175	0.857082807383108	98.571811345224	0.223186359905047	CCT5	0.665148475902011	1.94477925275524	0.179673279811298	3.70198883551624	0.000213916033419756
ENSG00000106683.13	0.108515551747378	0.0148939468639611	7.28588283136375	1.59988580046294e-12	4080	0.967684135759742	4.29445360097673e-17	0.742017995506556	1.19335027601293	97.4398352843842	0.286512598669451	LIMK1	0.654941794769785	1.92503046727393	0.180591517530996	3.62664760628845	0.00028712471651283
ENSG00000093009.8	0.114844772343011	0.00722034290279361	15.9057227460176	6.63844831165871e-45	4145	2.79327137849769	2.78632644533587e-23	2.24249944520896	3.34404331178641	97.4022697864989	1.6310566029635	CDC45	0.614956454244277	1.84957605661753	0.180007937919904	3.41627408963436	0.000634843138473588
ENSG00000088325.14	0.0959884344366735	0.0101968644032771	9.41352465232595	3.23080413914128e-19	4201	2.62864973837321	1.33758325545784e-23	2.11410815951264	3.14319131723378	97.5150718782902	1.42570257976733	TPX2	0.694085671587763	2.00187786309664	0.180403268499416	3.84741184215302	0.000119372209965872
ENSG00000075702.15	0.116506429165492	0.00971374630629209	11.9939748776458	1.07040878418679e-28	4561	1.73736196038715	3.77081961745049e-22	1.38548491403973	2.08923900673457	96.3631118492608	0.639317567712118	WDR62	0.595578902703485	1.81408081733335	0.180978324079012	3.29088527996018	0.000998726333765748
ENSG00000154920.13	0.120238916311516	0.00775157583841335	15.5115448546172	3.32061875664429e-43	5102	2.05195880240816	2.05558698118133e-18	1.59254892430526	2.51136868051105	98.092690904553	1.16636117422853	EME1	0.602238403835134	1.8262020063284	0.178644744526434	3.3711509702208	0.000748548244003081
ENSG00000109881.15	0.141486020660462	0.0132791668306247	10.6547362846714	1.28337280761242e-23	5254	0.982524579802552	1.78876033802508e-13	0.721010431761286	1.24403872784382	97.4558096150381	0.371362128829989	CCDC34	0.602794239627349	1.82721735692529	0.180693315917752	3.33600740329392	0.000849909004299594
ENSG00000165795.19	-0.153133022642678	0.0124398128833737	-12.3099136681828	6.14488364405586e-30	5497	-1.511818651364	1.46592438495488e-17	-1.85920168214638	-1.16443562058163	98.4585777238195	0.680418393505351	NDRG2	-0.749925606502245	0.472401695048259	0.181805776361321	-4.12487227585026	3.70940550337321e-05
ENSG00000163687.12	-0.0830286112773359	0.006004135251533	-13.828571109576	4.29874972237331e-36	5546	-2.80292707702086	2.0456989384062e-20	-3.39619692262825	-2.20965723141347	97.507381486475	1.84298157519202	DNASE1L3	-0.721475077872934	0.486034787768424	0.179858818372729	-4.01134114190493	6.03747957061219e-05
ENSG00000206195.9	0.0319403742784367	0.00465623126315526	6.85970530097609	2.48818554017152e-11	5549	1.97347124663788	2.15804707800758e-14	1.46725318176323	2.47968931151252	93.4857115943632	1.18325874109572	AP000525.9	0.629907252031646	1.87743644277328	0.178975433829717	3.51951795032921	0.000432331779637706
ENSG00000123352.16	0.226739345721649	0.015339296880083	14.7815996713678	4.33499204794511e-40	5695	0.762589559651482	2.3016638218247e-10	0.526830656676077	0.998348462626887	98.8043019374732	0.319116126767952	SPATS2	0.61093682550415	1.84215636972688	0.180658533715476	3.38172137755935	0.000720331655123467
ENSG00000118526.6	-0.0489720774979341	0.00620286546840092	-7.89507329272433	2.56680600615263e-14	5908	-3.32293085749045	4.21487765987808e-12	-4.26276189637181	-2.38309981860909	99.2318701815421	5.09287256334515	TCF21	-0.714577814020639	0.489398685450328	0.180120477410703	-3.96722140809837	7.27154344161242e-05
ENSG00000166851.13	0.104581073387019	0.00716424227438653	14.5976461126832	2.60103794359244e-39	6237	2.39944317628019	7.56206478598466e-21	1.89730523781041	2.90158111474997	97.9925582477488	1.38313343221213	PLK1	0.615500311748509	1.85058223601988	0.181299649123885	3.39493382763211	0.000686451896016599
ENSG00000122952.15	0.127551820972111	0.00949152648031642	13.438493927887	1.74446342782268e-34	7264	1.68674650642201	3.7667767570467e-11	1.1868257444171	2.18666726842693	98.9857476928876	1.41673636519071	ZWINT	0.591067308167259	1.80591485483665	0.178556015668263	3.31026264197896	0.000932084670918039
ENSG00000196584.2	0.103149479912377	0.00751480388847848	13.7261705618856	1.14079504433036e-35	7590	2.06035001590095	8.10293913568618e-24	1.65903159012076	2.46166844168114	97.6179277673749	0.874081189927701	XRCC2	0.599291650905391	1.82082856121181	0.178875724212032	3.35032410655687	0.000807170548450605
ENSG00000124571.16	0.231388294198407	0.0221019378054736	10.4691405900664	6.11740784177402e-23	8156	0.676601174244281	1.1443339043913e-11	0.481212905321442	0.871989443167119	98.712607652817	0.218396035943691	XPO5	0.728720622541474	2.07242749384894	0.181773287859846	4.00895330178187	6.09884745041133e-05
ENSG00000227467.3	-0.0667695240348199	0.00832683895925221	-8.01859197248318	1.07877788587924e-14	8823	-2.58878540892513	3.52124245430491e-14	-3.25838467911447	-1.91918613873578	98.167483914457	2.43982448003836	RP11-169D4.1	-0.788229516052468	0.45464903194104	0.182329727266978	-4.32309929854881	1.53852443620514e-05
ENSG00000117399.12	0.0943901236897025	0.0059626795859488	15.8301519189686	1.408131468095e-44	9032	2.57076763265535	1.51878515640156e-14	1.91520534161781	3.22632992369288	98.2554153901717	2.35869093442837	CDC20	0.91128956331868	2.4875282911652	0.185306985963897	4.91772913243662	8.75539461714047e-07
ENSG00000166508.16	0.157468527862053	0.0153621964815822	10.2503914756488	3.7774229387221e-22	9231	1.04140746692818	1.36964673455581e-19	0.815985874239012	1.26682905961734	97.7210709648469	0.261064947356098	MCM7	0.663824023089241	1.94220518939272	0.180409761578142	3.67953495022892	0.00023365966608924
ENSG00000090889.11	0.106292668852676	0.00656520759543599	16.1902982209684	3.88165419573604e-46	9298	2.80235781326284	1.18526054510447e-23	2.25446789319419	3.35024773333149	97.46773892728	1.62432961065085	KIF4A	0.613816193506986	1.84746825960701	0.180133303465513	3.40756640608939	0.000655449574553604
ENSG00000139112.9	-0.0964662798625971	0.0118087722761881	-8.16903549381821	3.70562462404041e-15	9389	-1.01556737904659	3.05815712003262e-10	-1.331726571508	-0.69940818658518	98.5525200165559	0.537619007592758	GABARAPL1	-0.611706771204621	0.542424284416098	0.181314962897378	-3.37372471322645	0.000741584901852923
ENSG00000109674.3	0.0748812785802947	0.00461242506399452	16.234687293856	2.49020047278856e-46	10106	3.06279848964397	3.88249739437604e-17	2.34955066900619	3.77604631028175	96.507713670306	2.5856445466356	NEIL3	0.771184934132966	2.16232695136762	0.181721864270185	4.24376525758269	2.19800279341917e-05
ENSG00000097046.11	0.126618126274781	0.0108205613035013	11.7016227461148	1.45945802463073e-27	10870	1.15579786054523	1.60226043334156e-11	0.819612956136074	1.49198276495439	97.2992173843714	0.611421631369245	CDC7	0.666844774747829	1.94808097912266	0.179792644977847	3.70896581909673	0.000208107516313256
ENSG00000123485.10	0.100666958678223	0.00595220685809798	16.9125437133062	2.74653027343036e-49	10997	3.00024095268299	9.11651670244456e-21	2.37104487793394	3.62943702743205	97.5367171039753	2.16431477645049	HJURP	0.6237257554303	1.86586687125683	0.179750393776551	3.46995487645861	0.000520545808655581
ENSG00000164032.10	0.163683056216777	0.0176171895694042	9.29109921715582	8.41908684618198e-19	11211	0.723958403677279	1.01636010502373e-14	0.540567286901801	0.907349520452757	96.8194140134632	0.176605647984359	H2AFZ	0.612072326135151	1.84424932749966	0.180195402135076	3.3967144493306	0.000682000948048401
ENSG00000142945.11	0.104105648461719	0.00664672950642216	15.6626876964274	7.42965715900184e-44	11509	2.39673652380725	7.36804293714394e-15	1.79278722578797	3.00068582182654	98.8861505351008	2.07317922084452	KIF2C	0.81381739769197	2.25650554514582	0.183151662463762	4.44340710176731	8.85453976009016e-06
ENSG00000166803.9	0.112953881884072	0.00963626843303605	11.721745058163	1.22048672013799e-27	11526	2.32265787151108	4.18387472613253e-16	1.76293085755474	2.88238488546743	98.1718026317726	1.69996751919797	PCLAF	0.621563470411711	1.86183669404059	0.179601900676969	3.46078447983494	0.000538603821935202
ENSG00000263400.5	-0.0785404508772768	0.0094838725034459	-8.28147477190775	1.65233874584826e-15	11974	-1.72716492554773	8.63134883155996e-12	-2.22296923191653	-1.23136061917892	99.0387148833749	1.42262621879013	TMEM220-AS1	-0.883171949867955	0.413469325495769	0.184906946299686	-4.77630487951796	1.78545631179853e-06
ENSG00000071539.12	0.113960782228284	0.00756196583208398	15.0702588134913	2.57026585296081e-41	12324	2.09660940499984	6.59357064298455e-23	1.67958877718387	2.51363003281581	97.3359894210464	0.95015667491884	TRIP13	0.809915522343718	2.24771809669906	0.182677246894027	4.43358730282134	9.2677953566993e-06
ENSG00000168393.11	0.170301962540613	0.0162950091244961	10.4511731929379	7.10996019150378e-23	12435	0.885015253178676	1.46730262447407e-11	0.628079570117405	1.14195093623995	97.9861004884931	0.369212021179163	DTYMK	0.621735204198981	1.86215646176401	0.181128899448511	3.43255662730794	0.000597919004766489
ENSG00000129173.11	0.0768931497930636	0.00541997530925912	14.1869926347643	1.38326739742411e-37	12540	2.51229249615463	2.3118006947573e-10	1.73552000939525	3.28906498291401	98.0686857399079	3.29724589252604	E2F8	0.6551193653966	1.92537232649182	0.180320626405319	3.63308057683896	0.000280057514306771
ENSG00000138160.5	0.125544648808039	0.0107881808147711	11.6372399539452	2.58358179828874e-27	12579	1.72069029820716	7.40763790345434e-11	1.20281457444007	2.23856602197425	98.7671690467599	1.51011101571069	KIF11	0.618288067977996	1.8557484058418	0.180213298188453	3.43086816674004	0.000601652920306757
ENSG00000174371.15	0.111751095169485	0.00662034241856779	16.8799569726275	3.81501470881507e-49	12878	2.41908861131769	1.30286134327583e-14	1.80377501552635	3.03440220710903	98.4210604036048	2.1344382924519	EXO1	0.621489792647143	1.86169952312827	0.179681226283316	3.45884656679266	0.000542493846832419
ENSG00000106462.9	0.159978099594406	0.0103424281336133	15.4681374168288	5.10109756098088e-43	13187	1.89849405467729	1.45622097041729e-14	1.41470468364478	2.38228342570981	98.6652619270193	1.31386252169201	EZH2	0.609118189577004	1.83880920253128	0.180096071605302	3.38218476476236	0.000719117597145663
ENSG00000011426.9	0.103857214719906	0.00653440425119026	15.893907191461	7.46709689342002e-45	14078	2.3163421629886	9.34573039570463e-14	1.70693974779918	2.92574457817802	98.2356181967394	2.05262728007755	ANLN	0.635289630819954	1.88756876038386	0.179787853328454	3.53355145555548	0.000410016269375294
ENSG00000146670.8	0.124406071007948	0.00742146040111715	16.7630175577331	1.23938257294612e-48	14142	2.23069877142256	6.88563997784408e-21	1.7643668661438	2.69703067670132	97.8597994650069	1.17137195351667	CDCA5	0.769401391007803	2.15847378516462	0.182201026158506	4.22281590411275	2.41268884191306e-05
ENSG00000182481.7	0.157833158152584	0.0146459698445125	10.7765590007493	4.56642238803164e-24	14562	1.22268534884771	1.20203197558741e-11	0.869229470751349	1.57614122694407	98.3421742950515	0.687455056472659	KPNA2	0.849018921259106	2.33735259974341	0.183555517003195	4.62540671683722	3.73864041816637e-06
ENSG00000125970.10	0.199593186336068	0.0242331735557957	8.23636185646567	2.28681946579085e-15	15035	0.512924372771376	2.04902048664681e-16	0.390611259633361	0.635237485909392	95.3840328642133	0.0746694757342611	RALY	0.611913024571246	1.84395555909707	0.182277066350271	3.35704889717377	0.000787791791793075
ENSG00000072571.18	0.117780410099956	0.00731596826071116	16.0990870794876	9.65555154891647e-46	15450	2.19316488874307	2.49733808467642e-16	1.6686612309555	2.71766854653064	97.4240852402738	1.51507071447538	HMMR	0.724173334963407	2.06302496425471	0.180593102907006	4.00997227084752	6.07258788699406e-05
ENSG00000101464.9	0.213647069675721	0.0190597113671196	11.2093549351586	1.10397069320143e-25	16124	0.587561737887475	2.16180877446632e-18	0.45592796931548	0.719195506459471	96.2694672049719	0.0926452948002842	PIGU	0.607153347535311	1.83519978003724	0.180699302775853	3.36002042181894	0.000779367113012923
ENSG00000040275.15	0.187997390197495	0.0134835504621883	13.9427215943377	1.44376410751574e-36	16479	0.849991355743182	1.05729705103525e-10	0.592045009366557	1.10793770211981	98.2119174547075	0.368212402548406	SPDL1	0.590377539391942	1.8046696206701	0.179200005575216	3.29451741643022	0.000985908348463476
ENSG00000121152.8	0.117918908344019	0.00831371142033937	14.1836662811668	1.42829474602717e-37	17136	2.31203169982433	1.38195318869783e-16	1.76384135578967	2.860222043859	98.1732022302206	1.66108533014682	NCAPH	0.627143483965602	1.87225480760392	0.180332821018327	3.47770017916965	0.000505735265517326
ENSG00000120907.16	-0.0407378112236065	0.00396356473998515	-10.2780738794642	3.00382605830606e-22	17617	-4.10953648783787	9.51438716275233e-19	-5.02061459780514	-3.19845837787061	97.6604449228935	4.40076523730936	ADRA1A	-0.596913970427624	0.550507901048374	0.18073671490749	-3.30267135115936	0.000957685568735276
ENSG00000187824.7	-0.096935608121602	0.0101793127903858	-9.52280474308209	1.36498781212815e-19	18384	-1.63691295802068	1.08523448534811e-12	-2.0875636235958	-1.18626229244556	99.2957993259531	1.19326110134928	TMEM220	-0.776934824856048	0.459813261649508	0.183053784799335	-4.24429806631822	2.1927872714398e-05
ENSG00000134690.9	0.122479572084965	0.00794322962718534	15.4193669116381	8.25996968654668e-43	19014	2.22002470919002	2.13359589127837e-15	1.67155733917213	2.76849207920791	98.6056935918724	1.69099285878565	CDCA8	0.772375879799282	2.16490369935838	0.182159415596635	4.24010956155894	2.23410715175268e-05
ENSG00000169607.11	0.0986282709482354	0.00687451894187915	14.3469342047191	2.95589592186524e-38	19343	2.61835807653503	1.27793561153755e-19	2.0520648556454	3.18465129742465	97.4656903836278	1.76511512290181	CKAP2L	0.598201483969509	1.81884463571994	0.179847431495337	3.32616084086259	0.000880511035941616
ENSG00000092853.12	0.0812909270403862	0.00681982372504954	11.919798856648	2.08310686667376e-28	19375	2.15442239217039	2.69348317743608e-13	1.57668932178645	2.73215546255433	97.6305466522207	1.84773557982547	CLSPN	0.658057808241768	1.9310382434386	0.180340082269208	3.64898252214077	0.000263281013565624
ENSG00000163815.5	-0.0632545767812804	0.00938905475514133	-6.73705484001389	5.35526112076308e-11	20222	-2.88093589993374	8.20316590796549e-15	-3.60816910782049	-2.153702692047	98.9276394891287	3.00673239363598	CLEC3B	-0.8876717927064	0.411612958325179	0.184171886291383	-4.81980073387526	1.43701681298478e-06
ENSG00000237649.6	0.109579106211042	0.00682364343919328	16.0587385884859	1.44439100485569e-45	20302	2.30319066627815	9.17229803504374e-16	1.74154891330407	2.86483241925224	98.3619824413876	1.74439774615771	KIFC1	0.600594932530014	1.82320316066703	0.179284389111006	3.34995665550194	0.000808242068818476
ENSG00000169762.15	-0.212914114957868	0.018694784532924	-11.3889579515023	2.30285490278994e-26	20549	-0.671221409675491	3.05916728905378e-13	-0.851639935757268	-0.490802883593715	98.0453901909803	0.182384352909099	TAPT1	-0.592534564132212	0.552924085681289	0.179469189144383	-3.30159492533014	0.00096136798418349
ENSG00000169679.13	0.110966098202952	0.00688808938087726	16.1098516681587	8.67154430035915e-46	20946	2.65715167772868	2.22421207266902e-22	2.12196230164265	3.19234105381471	97.7219939965908	1.57491428867587	BUB1	0.61780055933936	1.85484393294991	0.180104296209429	3.43023776968079	0.000603052555834587
ENSG00000102384.12	0.106405200584748	0.00735942202153504	14.4583637510374	1.00527115100749e-38	21362	1.8860250773105	2.3109077991856e-20	1.48626516583562	2.28578498878537	97.9236025112604	0.885010825576595	CENPI	0.596962680695676	1.81659284008449	0.179518411194922	3.32535630591947	0.000883056055346108
ENSG00000112984.10	0.0977215844457567	0.00615235603256239	15.8836036030016	8.2735612761723e-45	21892	2.81355961158457	8.71127480607887e-18	2.17158090967541	3.45553831349373	97.8975442426334	2.28272283186704	KIF20A	0.648345909842791	1.91237497081216	0.180029146209947	3.60133858040242	0.000316582961661931
ENSG00000130726.10	0.159069445225168	0.0229942379859418	6.91779589836461	1.72433416452237e-11	22623	0.490854390352445	1.26580940259846e-11	0.348800826637683	0.632907954067207	96.7237463074739	0.103845034658812	TRIM28	0.601800202453965	1.82540193739539	0.1808728851252	3.32719966310816	0.000877234943954258
ENSG00000170271.9	-0.0854484971158536	0.0107972475343935	-7.91391480501545	2.25027557215898e-14	22782	-1.70084372543005	1.13995377332792e-13	-2.14989822272182	-1.25178922813828	98.3486568171054	1.09322085636389	FAXDC2	-0.596534052221778	0.550717088757037	0.178996982447386	-3.33264865175659	0.000860235018103494
ENSG00000186185.12	0.0935526012611708	0.00595713394549346	15.7042970860078	4.91669733291798e-44	23158	3.08195342435422	1.9892355883891e-22	2.46192591533921	3.70198093336922	97.0396443595409	2.085225729202	KIF18B	0.604994675798858	1.83124245895663	0.179193983667971	3.37619971058768	0.000734945506206367
ENSG00000156049.6	-0.0844012035829175	0.00831148808702307	-10.1547644295725	8.31341800794281e-22	23302	-1.54540928543599	1.36894453557388e-10	-2.01725861155376	-1.07355995931823	98.4928509968208	1.23570066995949	GNA14	-0.717569653152309	0.487936671458099	0.181622273492803	-3.95089015985005	7.78610550141357e-05
ENSG00000073111.12	0.119401421125552	0.00958967879772402	12.4510344552823	1.69592770630991e-30	24290	1.59488554902201	7.04796526075054e-16	1.20751997533921	1.98225112270482	98.525999302308	0.828075133949761	MCM2	0.630939191715979	1.87937484392792	0.179271874894866	3.51945441573585	0.000432435340239593
ENSG00000227440.1	0.0301318138658558	0.0032480228689216	9.27697097029986	9.39820156162186e-19	24422	2.83022247577857	1.57542827364529e-16	2.15789508856985	3.50254986298728	81.5162419529631	1.84120542792263	NA	0.831051272504076	2.29573091090108	0.184143756510106	4.51305701726828	6.38998344760114e-06
ENSG00000117791.14	-0.104854444535488	0.0142735938372167	-7.34604373161388	1.07534507679655e-12	24840	-0.989519082101982	8.0253941047424e-12	-1.27313932299762	-0.705898841206341	97.5899871964101	0.420670925956768	MARC2	-0.683249824915149	0.504973248228369	0.18141175225432	-3.76629306770217	0.000165689290076437
ENSG00000122565.17	0.251161833247728	0.0309947478410332	8.10336752974712	5.91793206572438e-15	25745	0.704714575767548	2.05778809425865e-12	0.508254428117197	0.901174723417899	98.5769045985149	0.217179289534938	CBX3	0.634342379251392	1.88578160449156	0.179553580796306	3.53288626402289	0.000411049268271508
ENSG00000186642.14	-0.101159680145407	0.0103106285173651	-9.81120403814716	1.36406145820912e-20	25867	-2.33186788583441	5.65331120204275e-17	-2.87776444651696	-1.78597132515185	98.5250224088221	1.61998811125192	PDE2A	-0.76132546140015	0.467046963840713	0.180698716469967	-4.21323115223504	2.51743193654565e-05
ENSG00000100162.13	0.0995571529809212	0.00690953706370865	14.4086574922408	1.62695557864856e-38	25990	2.23410472677778	4.02434365810596e-19	1.7441069716152	2.72410248194035	96.9338735825144	1.25542576017322	CENPM	0.591224030450386	1.80619790411532	0.179401013734847	3.29554453535145	0.000982311322033009
ENSG00000254726.2	0.0819692120870508	0.0110325657386866	7.42975061545463	6.16223645061773e-13	26120	1.74436979425138	2.36086740018315e-12	1.25674351317238	2.23199607533038	98.0671166971718	1.33551831296516	MEX3A	0.668469685886135	1.95124901079188	0.182524748733484	3.66235094432158	0.000249911169461573
ENSG00000163808.15	0.0893789758537811	0.00695963280492036	12.8424844182284	4.61177158317567e-32	26588	1.89195519106154	2.66659520945893e-14	1.40490749175563	2.37900289036745	98.1048724572806	1.31780745510894	KIF15	0.644193796386658	1.90445103488725	0.1796258140943	3.5863096829082	0.000335390635408805
ENSG00000120156.19	-0.0713197756499124	0.00860100913414187	-8.29202417269936	1.53115456114081e-15	26661	-1.87236515462479	2.95174998750588e-12	-2.39811973938408	-1.3466105698655	98.6433060476405	1.52955529764685	TEK	-0.637171539790613	0.528785960892226	0.179721998634508	-3.54531746047628	0.000392140489575038
ENSG00000129810.13	0.108146372240936	0.00800438886023993	13.5108843572218	8.80046314887066e-35	27089	2.24971196520264	1.84134770609111e-12	1.62391652495254	2.87550740545274	98.1539283071507	2.17672404151458	SGO1	0.691700226823849	1.99710818519347	0.180830228887278	3.82513604655683	0.000130699890213986
ENSG00000089685.13	0.101013003471646	0.00621771633051708	16.2459974212503	2.22379932736029e-46	27200	2.8758468966213	2.63397348891152e-19	2.24838012314884	3.50331367009376	97.479743351399	2.11241750247446	BIRC5	0.682710800267821	1.97923577953255	0.181405072666513	3.76346036101694	0.000167578299683587
ENSG00000185298.11	0.194970348345073	0.0201074278736285	9.69643405265085	3.42848511244679e-20	28809	0.704215098515875	8.37938649835274e-13	0.511304622791528	0.897125574240222	97.4888142874928	0.206647123340862	CCDC137	0.641143936881237	1.8986515750601	0.18147973657437	3.53286790571518	0.000411077811961225
ENSG00000162062.13	0.116557527947642	0.00851390525201204	13.690254295477	1.60546353967547e-35	29427	2.13850615341147	7.66966517439638e-21	1.69090390058438	2.58610840623856	97.6949638955367	1.09856297781078	C16orf59	0.634720073879237	1.88649398859623	0.180380563856621	3.51878306791277	0.000433531045105715
ENSG00000134057.13	0.121666742522264	0.00787029613292366	15.458978984704	5.58448965257856e-43	29904	1.89692789227541	1.14183113484295e-14	1.41548131463539	2.37837446991543	98.8632687128603	1.30395957572954	CCNB1	0.678001957077823	1.96993777720869	0.181718677643883	3.73105266816059	0.000190681350770464
ENSG00000156970.11	0.0960364482963985	0.00641520079788981	14.9701390996192	6.86048336109132e-41	30305	2.52470923483561	4.59650474865762e-15	1.89334119313984	3.15607727653139	98.3212644057028	2.20599596351916	BUB1B	0.597029251047968	1.81671377533513	0.179562627050369	3.32490819974748	0.000884476523747651
