	Estimate	Std. Error	t value	Pr(>|t|)	idx	beta	pval	cilb	ciub	i2	tau2	Symbol	coef	exp(coef)	se(coef)	z	Pr(>|z|)
ENSG00000085999.10	0.0873613649569943	0.00635098496615764	13.7555616054069	8.62318759392748e-36	500	2.27621217527604	7.28202761181619e-16	1.72309260308178	2.82933174747031	98.0341848333568	1.63832625318509	RAD54L	0.684658173107132	1.98309384485878	0.180854789311565	3.78567897324327	0.000153289462214085
ENSG00000117650.11	0.096486107227275	0.00574583744730259	16.7923489155738	9.22398271394635e-49	1087	2.84645485181449	4.63318582396444e-19	2.22106174672996	3.47184795689901	97.3825774353817	2.11795537155562	NEK2	0.698415818967961	2.01056508418091	0.180736172946156	3.86428354425778	0.000111415739710191
ENSG00000008300.13	0.0940069284858001	0.0070220818504491	13.3873302088878	2.82690898921705e-34	1127	1.80338245112533	3.03808702890768e-12	1.29670390992083	2.31006099232983	98.6906686321595	1.44000579374883	CELSR3	0.656684925570589	1.92838897348132	0.182416192407667	3.59992672198211	0.000318306870065745
ENSG00000126787.11	0.105869315210229	0.00664352100693843	15.9357237073023	4.92396562410863e-45	1581	2.92777335162189	1.66655082512055e-15	2.20723362692073	3.64831307632305	97.9743700985326	2.81778955074672	DLGAP5	0.62805313502673	1.87395868102399	0.180197045011956	3.48536866953095	0.000491459405878143
ENSG00000112742.8	0.0955623142524374	0.00608346328574271	15.7085380093275	4.71403245306342e-44	1778	2.41925695535574	8.54614154469056e-15	1.80815637324529	3.03035753746619	98.1183420642356	2.05559129806565	TTK	0.618904514608299	1.85689272836392	0.179234535499276	3.45304275699032	0.000554301136356215
ENSG00000131747.13	0.101045465385347	0.00621942365400685	16.2467570962541	2.20696167440368e-46	2711	2.88347588622268	2.18886138609945e-16	2.19521227616569	3.57173949627966	98.2625074802646	2.66121179461265	TOP2A	0.601595114021457	1.82502760696008	0.178679031781906	3.36690381642408	0.000760171965664587
ENSG00000154839.8	0.0869522653619667	0.00498050038032669	17.4585400506009	1.09808576856015e-51	2788	2.57114511557337	2.09382163550638e-14	1.91195231329692	3.23033791784982	98.258898357498	2.42984608999464	SKA1	0.628321074768026	1.87446085630154	0.180972922930079	3.4719065404651	0.00051677621190314
ENSG00000024526.15	0.0899553254236476	0.00566203053354915	15.8874673830593	7.96142525298579e-45	2950	2.51522361457411	5.64405745398089e-14	1.85933065236402	3.17111657678421	97.5212787404813	2.34331146137578	DEPDC1	0.637927112505428	1.89255375945155	0.179202398497581	3.5598134726642	0.000371118299239534
ENSG00000115163.13	0.0916906083100085	0.00587306631989225	15.61205055687	1.22744427781665e-43	3172	2.96784115750368	1.03874150303766e-20	2.34451811483056	3.5911642001768	97.0760662365881	2.04284039229754	CENPA	0.660803543936705	1.93634764984959	0.180674356937144	3.65742850916356	0.000254758283057721
ENSG00000149554.11	0.13513014615433	0.0132765729914596	10.1780893489046	6.86105822517675e-22	3180	1.29714204411386	1.53525616077527e-14	0.966303035204499	1.62798105302322	98.5163929230639	0.611133676399732	CHEK1	0.657779670134928	1.93050122280375	0.17956210079321	3.66324334160274	0.000249041742526769
