	Estimate	Std. Error	t value	Pr(>|t|)	idx	beta	pval	cilb	ciub	i2	tau2	Symbol	coef	exp(coef)	se(coef)	z	Pr(>|z|)
ENSG00000036448.8	-0.0650928036457128	0.00639136349530837	-10.1844940744639	6.50839771746856e-22	85	-1.45841083712883	9.96617495443028e-14	-1.84253909877294	-1.07428257548473	95.4312050774873	0.754484550166923	MYOM2	-0.521128318026607	0.593850118018958	0.17891761581774	-2.91267193364275	0.00358350864237296
ENSG00000127564.15	0.122459458577855	0.00783875988544162	15.6223000024902	1.10887949184302e-43	110	2.76921349380575	1.10269786567984e-29	2.28954649902054	3.24888048859096	96.1556344103586	1.1944206800276	PKMYT1	0.542967743334881	1.72110709445953	0.178606571805923	3.04002108010269	0.00236561590504676
ENSG00000109805.8	0.101591248454026	0.00590938936456363	17.1914968174597	1.64111448658668e-50	156	2.64258373434563	3.89813555234857e-17	2.02715878437046	3.25800868432079	98.0045271955996	2.08144528507763	NCAPG	0.555610709070283	1.74300512884152	0.178995037247172	3.10405650131545	0.00190886873463796
ENSG00000175643.8	0.0946090299489641	0.00995732155687869	9.50145372011277	1.61602605628516e-19	451	1.59828749970523	3.90399300184916e-14	1.18415179430349	2.01242320510697	97.5719036634337	0.942440587092356	RMI2	0.518067493226763	1.67878025868627	0.178566017346893	2.90126587871606	0.00371658386479427
ENSG00000085999.10	0.0873613649569943	0.00635098496615764	13.7555616054069	8.62318759392748e-36	500	2.27621217527604	7.28202761181619e-16	1.72309260308178	2.82933174747031	98.0341848333568	1.63832625318509	RAD54L	0.684658173107132	1.98309384485878	0.180854789311565	3.78567897324327	0.000153289462214085
ENSG00000088356.5	0.185812743708412	0.022390500051833	8.29873130471693	1.45872073968529e-15	522	0.636289931328794	1.90066699627501e-12	0.459184131653849	0.813395731003738	96.9684040605604	0.169007491274456	PDRG1	0.523833775209123	1.68848854249525	0.179424528827661	2.91952153159767	0.00350569175447424
ENSG00000138778.10	0.116744980437661	0.00771543828788453	15.1313478355447	1.41064302096015e-41	997	1.93892461404678	2.54849821213949e-18	1.50361457317993	2.37423465491363	97.6550791387079	1.03801604141552	CENPE	0.509433264695897	1.66434768302011	0.178669847104864	2.85125483091112	0.00435470539973888
ENSG00000117650.11	0.096486107227275	0.00574583744730259	16.7923489155738	9.22398271394635e-49	1087	2.84645485181449	4.63318582396444e-19	2.22106174672996	3.47184795689901	97.3825774353817	2.11795537155562	NEK2	0.698415818967961	2.01056508418091	0.180736172946156	3.86428354425778	0.000111415739710191
ENSG00000164932.11	0.0568420506199735	0.00569284926333026	9.9848156855503	3.34154863250362e-21	1088	2.24347936180527	4.85037033967213e-17	1.71940325576773	2.76755546784281	96.2597757260646	1.42047141651734	CTHRC1	0.50335090473316	1.65425524534248	0.178898062938546	2.81361852926305	0.00489873226160998
ENSG00000008300.13	0.0940069284858001	0.0070220818504491	13.3873302088878	2.82690898921705e-34	1127	1.80338245112533	3.03808702890768e-12	1.29670390992083	2.31006099232983	98.6906686321595	1.44000579374883	CELSR3	0.656684925570589	1.92838897348132	0.182416192407667	3.59992672198211	0.000318306870065745
ENSG00000168078.8	0.0974039233959897	0.00609170254177376	15.9896059809296	2.8782825460155e-45	1160	2.74949285758073	1.97517466689234e-14	2.04526622092747	3.45371949423399	97.6342423251211	2.65680027954731	PBK	0.565979410617905	1.76117184870831	0.178966013484408	3.16249660814629	0.00156422557833633
