44	o	Osteobl+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,Osteobl+Broad+CTCF,
45	A	A549+EtOH_0.02pct+HudsonAlpha+ATF3	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+ATF3,
46	A	A549+EtOH_0.02pct+HudsonAlpha+BCL3	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+BCL3,
47	A	A549+DEX_100nM+HudsonAlpha+CREB1_(SC-240)	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+CREB1_(SC-240),
48	A	A549+DEX_100nM+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+CTCF_(SC-5916),
49	A	A549+EtOH_0.02pct+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+CTCF_(SC-5916),
50	A	A549+EtOH_0.02pct+HudsonAlpha+ELF1_(SC-631)	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+ELF1_(SC-631),
51	A	A549+EtOH_0.02pct+HudsonAlpha+ETS1	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+ETS1,
52	A	A549+EtOH_0.02pct+HudsonAlpha+FOSL2	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+FOSL2,
53	A	A549+DEX_100nM+HudsonAlpha+FOXA1_(SC-101058)	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+FOXA1_(SC-101058),
54	A	A549+EtOH_0.02pct+HudsonAlpha+GABP	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+GABP,
55	A	A549+DEX_500pM+HudsonAlpha+GR	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_500pM+HudsonAlpha+GR,
56	A	A549+DEX_50nM+HudsonAlpha+GR	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_50nM+HudsonAlpha+GR,
57	A	A549+DEX_5nM+HudsonAlpha+GR	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_5nM+HudsonAlpha+GR,
58	A	A549+DEX_100nM+HudsonAlpha+GR	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+GR,
59	A	A549+EtOH_0.02pct+HudsonAlpha+NRSF	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+NRSF,
60	A	A549+EtOH_0.02pct+HudsonAlpha+p300	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+p300,
61	A	A549+DEX_100nM+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+Pol2,
62	A	A549+EtOH_0.02pct+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+Pol2,
63	A	A549+EtOH_0.02pct+HudsonAlpha+Sin3Ak-20	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+Sin3Ak-20,
64	A	A549+EtOH_0.02pct+HudsonAlpha+SIX5	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+SIX5,
65	A	A549+EtOH_0.02pct+HudsonAlpha+TAF1	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+TAF1,
66	A	A549+EtOH_0.02pct+HudsonAlpha+TCF12	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+TCF12,
67	A	A549+DEX_100nM+HudsonAlpha+USF-1	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+USF-1,
68	A	A549+EtOH_0.02pct+HudsonAlpha+V04+USF-1	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+V04+USF-1,
69	A	A549+EtOH_0.02pct+HudsonAlpha+USF-1	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+USF-1,
70	A	A549+EtOH_0.02pct+HudsonAlpha+YY1_(SC-281)	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+YY1_(SC-281),
71	A	A549+EtOH_0.02pct+HudsonAlpha+ZBTB33	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+ZBTB33,
72	e	ECC-1+DMSO_0.02pct+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+DMSO_0.02pct+HudsonAlpha+CTCF_(SC-5916),
73	e	ECC-1+BPA_100nM+HudsonAlpha+ERalpha_a	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+BPA_100nM+HudsonAlpha+ERalpha_a,
74	e	ECC-1+Estradiol_10nM+HudsonAlpha+ERalpha_a	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+Estradiol_10nM+HudsonAlpha+ERalpha_a,
75	e	ECC-1+Genistein_100nM+HudsonAlpha+ERalpha_a	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+Genistein_100nM+HudsonAlpha+ERalpha_a,
76	e	ECC-1+DMSO_0.02pct+HudsonAlpha+FOXA1_(SC-6553)	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+DMSO_0.02pct+HudsonAlpha+FOXA1_(SC-6553),
77	e	ECC-1+DEX_100nM+HudsonAlpha+GR	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+DEX_100nM+HudsonAlpha+GR,
78	e	ECC-1+DMSO_0.02pct+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+DMSO_0.02pct+HudsonAlpha+Pol2,
79	G	GM12878+HudsonAlpha+ATF2_(SC-81188)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+ATF2_(SC-81188),
80	G	GM12878+HudsonAlpha+ATF3	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+ATF3,
81	G	GM12878+HudsonAlpha+BATF	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+BATF,
82	G	GM12878+HudsonAlpha+BCL11A	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+BCL11A,
83	G	GM12878+HudsonAlpha+BCL3	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+BCL3,
84	G	GM12878+HudsonAlpha+BCLAF1_(SC-101388)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+BCLAF1_(SC-101388),
85	G	GM12878+HudsonAlpha+CEBPB_(SC-150)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+CEBPB_(SC-150),
86	G	GM12878+HudsonAlpha+EBF1_(SC-137065)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+EBF1_(SC-137065),
87	G	GM12878+HudsonAlpha+Egr-1	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+Egr-1,
88	G	GM12878+HudsonAlpha+ELF1_(SC-631)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+ELF1_(SC-631),
89	G	GM12878+HudsonAlpha+ETS1	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+ETS1,
90	G	GM12878+HudsonAlpha+FOXM1_(SC-502)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+FOXM1_(SC-502),
91	G	GM12878+HudsonAlpha+GABP	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+GABP,
92	G	GM12878+HudsonAlpha+IRF4_(SC-6059)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+IRF4_(SC-6059),
93	G	GM12878+HudsonAlpha+MEF2A	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+MEF2A,
94	G	GM12878+HudsonAlpha+MEF2C_(SC-13268)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+MEF2C_(SC-13268),
95	G	GM12878+HudsonAlpha+MTA3_(SC-81325)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+MTA3_(SC-81325),
96	G	GM12878+HudsonAlpha+NFATC1_(SC-17834)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+NFATC1_(SC-17834),
97	G	GM12878+HudsonAlpha+NFIC_(SC-81335)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+NFIC_(SC-81335),
98	G	GM12878+HudsonAlpha+NRSF	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+NRSF,
99	G	GM12878+HudsonAlpha+p300	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+p300,
100	G	GM12878+HudsonAlpha+PAX5-C20	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+PAX5-C20,
101	G	GM12878+HudsonAlpha+PAX5-N19	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+PAX5-N19,
102	G	GM12878+HudsonAlpha+Pbx3	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+Pbx3,
103	G	GM12878+HudsonAlpha+PML_(SC-71910)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+PML_(SC-71910),
104	G	GM12878+HudsonAlpha+Pol2-4H8	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+Pol2-4H8,
105	G	GM12878+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+Pol2,
106	G	GM12878+HudsonAlpha+POU2F2	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+POU2F2,
107	G	GM12878+HudsonAlpha+PU.1	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+PU.1,
108	G	GM12878+HudsonAlpha+Rad21	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+Rad21,
109	G	GM12878+HudsonAlpha+RUNX3_(SC-101553)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+RUNX3_(SC-101553),
110	G	GM12878+HudsonAlpha+RXRA	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+RXRA,
111	G	GM12878+HudsonAlpha+SIX5	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+SIX5,
112	G	GM12878+HudsonAlpha+SP1	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+SP1,
113	G	GM12878+HudsonAlpha+SRF	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+SRF,
114	G	GM12878+HudsonAlpha+STAT5A_(SC-74442)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+STAT5A_(SC-74442),
115	G	GM12878+HudsonAlpha+TAF1	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+TAF1,
116	G	GM12878+HudsonAlpha+TCF12	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+TCF12,
117	G	GM12878+HudsonAlpha+TCF3_(SC-349)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+TCF3_(SC-349),
118	G	GM12878+HudsonAlpha+USF-1	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+USF-1,
119	G	GM12878+HudsonAlpha+YY1_(SC-281)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+YY1_(SC-281),
120	G	GM12878+HudsonAlpha+ZBTB33	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+ZBTB33,
121	G	GM12878+HudsonAlpha+ZEB1_(SC-25388)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+HudsonAlpha+ZEB1_(SC-25388),
122	g	GM12891+HudsonAlpha+PAX5-C20	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+PAX5-C20,
123	g	GM12891+HudsonAlpha+Pol2-4H8	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+Pol2-4H8,
124	g	GM12891+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+Pol2,
125	g	GM12891+HudsonAlpha+POU2F2	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+POU2F2,
126	g	GM12891+HudsonAlpha+PU.1	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+PU.1,
127	g	GM12891+HudsonAlpha+TAF1	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+TAF1,
128	g	GM12891+HudsonAlpha+YY1_(SC-281)	n/a	n/a	n/a	3	n/a,n/a/,GM12891+HudsonAlpha+YY1_(SC-281),
129	g	GM12892+HudsonAlpha+PAX5-C20	n/a	n/a	n/a	3	n/a,n/a/,GM12892+HudsonAlpha+PAX5-C20,
130	g	GM12892+HudsonAlpha+Pol2-4H8	n/a	n/a	n/a	3	n/a,n/a/,GM12892+HudsonAlpha+Pol2-4H8,
131	g	GM12892+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,GM12892+HudsonAlpha+Pol2,
132	g	GM12892+HudsonAlpha+TAF1	n/a	n/a	n/a	3	n/a,n/a/,GM12892+HudsonAlpha+TAF1,
133	g	GM12892+HudsonAlpha+YY1	n/a	n/a	n/a	3	n/a,n/a/,GM12892+HudsonAlpha+YY1,
134	1	H1-hESC+HudsonAlpha+ATF2_(SC-81188)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+ATF2_(SC-81188),
